종목명,코드,상세정보,20.08.25,20.08.26,20.08.27,20.08.28
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-2.69% / 167,637,198","0.00% / 203,467,703(121%)","+1.80% / 208,062,502(124%)","-1.53% / 181,277,513(108%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+2.69% / 57,544,175","-0.03% / 54,710,313(95%)","-1.76% / 50,757,798(88%)","+1.35% / 48,928,222(85%)"
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"+3.96% / 51,072,909","+11.76% / 98,573,664(193%)","+2.17% / 59,653,403(117%)","-6.36% / 17,865,928(35%)"
우리들휴브레인,118000,https://finance.naver.com/item/main.nhn?code=118000,"+29.87% / 46,227,654","+1.36% / 62,079,254(134%)","-8.17% / 17,221,230(37%)","+4.29% / 11,384,504(25%)"
진원생명과학,011000,https://finance.naver.com/item/main.nhn?code=011000,"+29.78% / 37,477,294","+29.89% / 22,302,876(60%)","-23.18% / 55,250,242(147%)","+4.85% / 32,170,967(86%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-1.36% / 36,625,914","0.00% / 42,338,401(116%)","+0.92% / 40,780,207(111%)","-0.64% / 32,896,027(90%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-2.23% / 33,041,380","-0.09% / 48,139,542(146%)","+0.57% / 39,988,059(121%)","-1.32% / 33,514,425(101%)"
에이프로젠 KIC,007460,https://finance.naver.com/item/main.nhn?code=007460,"+1.19% / 30,623,307","+6.06% / 14,419,966(47%)","-5.87% / 14,933,715(49%)","-1.01% / 6,087,756(20%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+4.11% / 24,020,892","+0.04% / 28,144,296(117%)","-0.96% / 25,030,308(104%)","+2.67% / 27,141,664(113%)"
한국테크놀로지그룹,000240,https://finance.naver.com/item/main.nhn?code=000240,"+29.89% / 15,906,284","-7.10% / 12,509,201(79%)","-3.67% / 2,763,534(17%)","-1.59% / 1,271,741(8%)"
동양물산,002900,https://finance.naver.com/item/main.nhn?code=002900,"+13.16% / 14,533,591","+0.39% / 12,179,741(84%)","-5.79% / 8,347,437(57%)","+4.92% / 5,568,811(38%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+0.53% / 13,782,160","0.00% / 17,541,332(127%)","-1.42% / 15,709,429(114%)","+0.36% / 9,318,260(68%)"
에이엔피,015260,https://finance.naver.com/item/main.nhn?code=015260,"+13.75% / 13,155,303","0.00% / 2,174,474(17%)","-3.30% / 1,130,835(9%)","0.00% / 1,397,755(11%)"
알루코,001780,https://finance.naver.com/item/main.nhn?code=001780,"+3.25% / 12,855,101","+8.62% / 24,561,609(191%)","-6.30% / 5,946,180(46%)","+3.23% / 12,102,014(94%)"
필룩스,033180,https://finance.naver.com/item/main.nhn?code=033180,"+6.00% / 11,199,964","-1.04% / 1,641,505(15%)","+3.01% / 11,986,737(107%)","+0.88% / 1,687,725(15%)"
TCC스틸,002710,https://finance.naver.com/item/main.nhn?code=002710,"+17.05% / 10,807,771","-3.25% / 2,372,546(22%)","-6.58% / 927,002(9%)","+2.50% / 1,913,613(18%)"
드림텍,192650,https://finance.naver.com/item/main.nhn?code=192650,"+7.55% / 10,712,501","+1.05% / 2,974,188(28%)","-4.17% / 2,167,994(20%)","+2.90% / 2,643,169(25%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"+1.54% / 10,633,369","+3.03% / 9,212,474(87%)","0.00% / 4,584,703(43%)","0.00% / 6,239,956(59%)"
오리엔트바이오,002630,https://finance.naver.com/item/main.nhn?code=002630,"+29.86% / 10,406,399","+7.75% / 11,913,170(114%)","+4.22% / 31,000,230(298%)","+0.24% / 14,540,081(140%)"
