종목명,코드,상세정보,20.08.12,20.08.13,20.08.14
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-0.87% / 180,507,771","+0.13% / 152,113,272(84%)","+2.64% / 179,186,665(99%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+0.98% / 46,573,625","-0.03% / 57,011,673(122%)","-2.72% / 48,489,925(104%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-0.47% / 43,223,995","0.00% / 30,099,015(70%)","+1.41% / 39,752,122(92%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"+2.13% / 39,270,056","-1.99% / 32,977,731(84%)","+3.47% / 36,662,931(93%)"
덕양산업,024900,https://finance.naver.com/item/main.nhn?code=024900,"+29.97% / 28,549,439","-3.53% / 30,817,093(108%)","-7.07% / 6,056,393(21%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"-4.41% / 23,628,111","+4.01% / 28,530,819(121%)","-6.37% / 20,874,395(88%)"
한온시스템,018880,https://finance.naver.com/item/main.nhn?code=018880,"+10.09% / 22,127,251","+6.25% / 16,077,227(73%)","+2.35% / 3,839,658(17%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+1.37% / 18,013,798","-0.51% / 21,685,901(120%)","-1.19% / 13,120,467(73%)"
부산주공,005030,https://finance.naver.com/item/main.nhn?code=005030,"-6.14% / 16,820,945","-5.08% / 3,828,650(23%)","-5.36% / 2,143,143(13%)"
부광약품,003000,https://finance.naver.com/item/main.nhn?code=003000,"+0.13% / 11,654,731","-3.14% / 2,528,125(22%)","-2.97% / 1,516,846(13%)"
한화생명,088350,https://finance.naver.com/item/main.nhn?code=088350,"+3.49% / 11,367,957","+0.92% / 27,951,551(246%)","-1.52% / 9,989,317(88%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"-1.52% / 10,806,487","+3.08% / 11,362,349(105%)","-1.49% / 6,798,290(63%)"
현대로템,064350,https://finance.naver.com/item/main.nhn?code=064350,"-10.83% / 10,410,527","-0.31% / 4,170,795(40%)","+0.94% / 3,080,754(30%)"
