종목명,코드,상세정보,20.10.07,20.10.08
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-2.08% / 166,246,493","-0.88% / 139,808,772(84%)"
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"+8.44% / 84,764,936","+27.54% / 167,912,458(198%)"
써니전자,004770,https://finance.naver.com/item/main.nhn?code=004770,"+9.68% / 62,635,065","-2.94% / 10,436,059(17%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-0.67% / 48,522,772","+0.19% / 28,564,129(59%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+2.02% / 46,272,639","+0.91% / 51,135,641(111%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-0.93% / 37,054,885","-0.37% / 27,567,106(74%)"
까뮤이앤씨,013700,https://finance.naver.com/item/main.nhn?code=013700,"+30.00% / 35,070,312","+17.31% / 89,878,772(256%)"
신풍제지,002870,https://finance.naver.com/item/main.nhn?code=002870,"+26.76% / 28,025,183","-4.75% / 1,810,166(6%)"
콤텍시스템,031820,https://finance.naver.com/item/main.nhn?code=031820,"+4.36% / 27,850,452","-3.34% / 7,714,503(28%)"
부산주공,005030,https://finance.naver.com/item/main.nhn?code=005030,"-0.83% / 27,217,878","+0.42% / 12,160,906(45%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+1.48% / 21,527,807","-0.31% / 15,483,173(72%)"
대우부품,009320,https://finance.naver.com/item/main.nhn?code=009320,"+7.46% / 18,648,027","+2.31% / 4,834,511(26%)"
삼성 레버리지 WTI원유 선물 ETN,530031,https://finance.naver.com/item/main.nhn?code=530031,"+3.08% / 18,331,064","0.00% / 9,029,423(49%)"
이아이디,093230,https://finance.naver.com/item/main.nhn?code=093230,"+0.72% / 17,864,692","-3.23% / 19,590,542(110%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"+1.82% / 15,901,152","-1.79% / 9,766,154(61%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+1.53% / 14,718,727","+0.17% / 18,881,401(128%)"
이수화학,005950,https://finance.naver.com/item/main.nhn?code=005950,"+0.43% / 13,903,685","+2.16% / 4,702,245(34%)"
보락,002760,https://finance.naver.com/item/main.nhn?code=002760,"+3.30% / 12,727,156","-1.20% / 2,362,390(19%)"
