종목명,코드,상세정보,20.09.14,20.09.15,20.09.16,20.09.18
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-2.58% / 135,697,407","-1.39% / 105,308,052(78%)","+0.64% / 105,048,803(77%)","-0.87% / 90,967,767(67%)"
대유플러스,000300,https://finance.naver.com/item/main.nhn?code=000300,"+29.86% / 127,346,984","-2.42% / 56,589,589(44%)","-6.27% / 8,456,625(7%)","-0.33% / 4,646,587(4%)"
보락,002760,https://finance.naver.com/item/main.nhn?code=002760,"+8.80% / 124,039,505","+0.35% / 38,328,652(31%)","-5.96% / 3,290,963(3%)","+2.10% / 1,249,606(1%)"
대유에이텍,002880,https://finance.naver.com/item/main.nhn?code=002880,"+21.24% / 44,897,717","-7.89% / 7,452,495(17%)","-3.80% / 2,396,477(5%)","-0.59% / 412,903(1%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+2.85% / 35,168,106","+1.43% / 46,314,802(132%)","-0.66% / 43,925,593(125%)","+0.88% / 32,727,796(93%)"
쌍용차,003620,https://finance.naver.com/item/main.nhn?code=003620,"+29.79% / 33,070,571","-11.21% / 32,512,643(98%)","-7.12% / 7,614,464(23%)","-2.98% / 1,572,123(5%)"
한솔홈데코,025750,https://finance.naver.com/item/main.nhn?code=025750,"+2.86% / 32,457,747","-3.40% / 7,778,198(24%)","-1.60% / 5,859,075(18%)","+1.70% / 4,872,025(15%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-1.48% / 30,611,780","-0.66% / 23,685,832(77%)","+0.28% / 25,908,884(85%)","-0.46% / 24,003,446(78%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+2.37% / 20,469,362","+0.83% / 16,812,250(82%)","0.00% / 16,959,959(83%)","-0.17% / 9,231,430(45%)"
신성통상,005390,https://finance.naver.com/item/main.nhn?code=005390,"-2.99% / 19,433,028","-2.56% / 6,415,703(33%)","-2.37% / 4,072,893(21%)","-1.93% / 1,649,367(8%)"
드림텍,192650,https://finance.naver.com/item/main.nhn?code=192650,"+3.09% / 17,176,353","-4.09% / 3,550,653(21%)","-4.86% / 2,235,353(13%)","-1.11% / 1,555,204(9%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-0.79% / 17,069,376","-1.19% / 24,684,822(145%)","+0.30% / 35,086,102(206%)","-0.59% / 25,135,080(147%)"
영진약품,003520,https://finance.naver.com/item/main.nhn?code=003520,"-1.44% / 15,809,944","-5.65% / 7,772,028(49%)","+2.33% / 6,195,933(39%)","+2.32% / 6,932,774(44%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+1.40% / 13,182,440","+2.37% / 16,908,637(128%)","-0.62% / 20,418,501(155%)","+1.18% / 11,041,313(84%)"
KEC,092220,https://finance.naver.com/item/main.nhn?code=092220,"+7.02% / 11,732,496","-0.77% / 5,554,666(47%)","+0.78% / 2,568,264(22%)","-0.71% / 16,337,971(139%)"
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"-3.97% / 11,609,121","-3.92% / 13,202,086(114%)","+5.64% / 35,567,567(306%)","+1.11% / 15,154,663(131%)"
HMM,011200,https://finance.naver.com/item/main.nhn?code=011200,"-0.41% / 11,294,192","+2.35% / 6,866,348(61%)","+0.68% / 5,904,897(52%)","+0.27% / 2,048,867(18%)"
