종목명,코드,상세정보,20.10.22,20.10.23
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"+1.49% / 140,093,516","-0.73% / 143,612,989(103%)"
수산중공업,017550,https://finance.naver.com/item/main.nhn?code=017550,"+0.66% / 66,672,856","-6.51% / 13,365,996(20%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"+3.21% / 65,551,735","+0.44% / 96,875,864(148%)"
CJ씨푸드,011150,https://finance.naver.com/item/main.nhn?code=011150,"+15.59% / 60,310,097","-16.12% / 24,634,531(41%)"
KEC,092220,https://finance.naver.com/item/main.nhn?code=092220,"-3.94% / 59,727,801","-8.19% / 19,889,964(33%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"-1.45% / 53,587,291","+0.70% / 50,182,724(94%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"-6.16% / 35,601,012","-1.22% / 39,995,730(112%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"+0.65% / 30,478,152","-0.28% / 33,388,036(110%)"
이구산업,025820,https://finance.naver.com/item/main.nhn?code=025820,"+8.83% / 28,239,637","-10.21% / 3,232,646(11%)"
삼부토건,001470,https://finance.naver.com/item/main.nhn?code=001470,"-5.93% / 20,483,192","+12.25% / 32,999,907(161%)"
금호에이치티,214330,https://finance.naver.com/item/main.nhn?code=214330,"-13.46% / 19,595,940","-6.35% / 13,850,427(71%)"
신성통상,005390,https://finance.naver.com/item/main.nhn?code=005390,"+2.75% / 17,383,697","-4.01% / 4,516,785(26%)"
사조씨푸드,014710,https://finance.naver.com/item/main.nhn?code=014710,"+29.83% / 16,784,071","-4.62% / 44,914,333(268%)"
한솔홈데코,025750,https://finance.naver.com/item/main.nhn?code=025750,"-7.42% / 15,691,347","+0.55% / 26,949,533(172%)"
대한전선,001440,https://finance.naver.com/item/main.nhn?code=001440,"+2.62% / 14,271,675","-1.00% / 6,107,252(43%)"
대창,012800,https://finance.naver.com/item/main.nhn?code=012800,"0.00% / 14,163,257","-2.00% / 3,728,061(26%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"-1.31% / 13,382,307","+0.17% / 8,417,981(63%)"
마니커,027740,https://finance.naver.com/item/main.nhn?code=027740,"+3.53% / 13,253,458","-2.27% / 3,055,416(23%)"
주연테크,044380,https://finance.naver.com/item/main.nhn?code=044380,"+8.60% / 12,799,332","-2.92% / 2,071,818(16%)"
SK증권우,001515,https://finance.naver.com/item/main.nhn?code=001515,"-1.97% / 11,800,155","-9.60% / 2,236,068(19%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"-5.17% / 10,210,805","0.00% / 7,288,731(71%)"
