종목명,코드,상세정보,20.10.12,20.10.13,20.10.14,20.10.15,20.10.16
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"+1.38% / 137,679,385","+3.81% / 173,490,042(126%)","+0.88% / 35,574,679(26%)","-4.51% / 24,264,150(18%)","-4.57% / 15,278,023(11%)"
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-0.63% / 97,575,973","-0.13% / 129,349,084(133%)","+1.90% / 141,834,904(145%)","+1.61% / 183,745,251(188%)","+0.98% / 201,061,642(206%)"
까뮤이앤씨,013700,https://finance.naver.com/item/main.nhn?code=013700,"+8.20% / 79,928,105","-2.03% / 8,863,970(11%)","-0.52% / 8,632,104(11%)","+2.08% / 7,512,875(9%)","+4.08% / 8,784,110(11%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+0.78% / 40,680,544","+0.10% / 57,623,532(142%)","-1.96% / 58,573,554(144%)","-1.48% / 60,526,066(149%)","-1.20% / 62,274,065(153%)"
남성,004270,https://finance.naver.com/item/main.nhn?code=004270,"+29.86% / 39,035,686","+11.02% / 55,190,398(141%)","-4.04% / 26,742,452(69%)","-2.81% / 16,803,873(43%)","-3.68% / 4,856,427(12%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-0.19% / 27,255,435","-0.09% / 31,969,877(117%)","+1.03% / 32,190,447(118%)","+0.65% / 40,400,746(148%)","+0.65% / 34,781,564(128%)"
마니커,027740,https://finance.naver.com/item/main.nhn?code=027740,"+5.74% / 26,997,849","-2.09% / 4,275,445(16%)","-1.99% / 3,038,050(11%)","-0.72% / 2,477,010(9%)","-0.73% / 1,996,691(7%)"
한솔홈데코,025750,https://finance.naver.com/item/main.nhn?code=025750,"+2.45% / 26,424,456","-0.90% / 7,971,964(30%)","+30.00% / 102,872,715(389%)","-3.96% / 101,325,783(383%)","0.00% / 133,408,594(505%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-0.29% / 22,604,051","+0.77% / 35,549,161(157%)","+2.02% / 44,207,120(196%)","+2.35% / 66,668,601(295%)","+0.92% / 79,356,131(351%)"
에이프로젠제약,003060,https://finance.naver.com/item/main.nhn?code=003060,"+4.85% / 14,663,636","-1.43% / 3,664,736(25%)","-1.45% / 4,213,841(29%)","-2.57% / 3,101,724(21%)","-3.02% / 3,237,645(22%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+1.17% / 14,267,272","+0.83% / 19,176,074(134%)","0.00% / 14,071,090(99%)","-1.48% / 17,611,647(123%)","-0.83% / 16,031,650(112%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"+1.82% / 14,008,943","-1.79% / 11,343,651(81%)","0.00% / 10,633,758(76%)","+5.45% / 26,711,634(191%)","-1.72% / 13,027,185(93%)"
이아이디,093230,https://finance.naver.com/item/main.nhn?code=093230,"-4.48% / 13,699,137","+3.11% / 13,465,619(98%)","-3.40% / 10,053,611(73%)","0.00% / 11,145,209(81%)","-1.56% / 6,923,531(51%)"
체시스,033250,https://finance.naver.com/item/main.nhn?code=033250,"+17.93% / 13,211,750","-4.93% / 4,793,005(36%)","-3.77% / 2,013,544(15%)","+6.54% / 8,328,006(63%)","-3.07% / 1,900,848(14%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+0.77% / 13,195,066","-1.64% / 22,117,895(168%)","-3.77% / 22,888,377(173%)","-4.40% / 30,565,992(232%)","-1.65% / 33,626,875(255%)"
