종목명,코드,상세정보,20.08.03,20.08.04,20.08.05,20.08.06,20.08.07
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"+0.22% / 109,333,761","-2.27% / 122,542,877(112%)","-2.32% / 137,802,891(126%)","-3.17% / 199,852,613(183%)","+0.35% / 125,167,516(114%)"
신성통상,005390,https://finance.naver.com/item/main.nhn?code=005390,"-2.97% / 47,063,696","+2.22% / 47,977,631(102%)","-4.78% / 14,014,186(30%)","-3.20% / 10,094,699(21%)","+0.24% / 6,866,044(15%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"-0.22% / 36,298,540","+2.36% / 48,651,260(134%)","+2.27% / 42,101,486(116%)","+3.19% / 64,079,397(177%)","-0.37% / 43,130,222(119%)"
드림텍,192650,https://finance.naver.com/item/main.nhn?code=192650,"+28.06% / 33,233,791","-6.45% / 19,726,318(59%)","+1.06% / 5,879,917(18%)","-1.31% / 12,735,025(38%)","+1.06% / 3,914,165(12%)"
대한전선,001440,https://finance.naver.com/item/main.nhn?code=001440,"-2.12% / 31,250,968","-3.43% / 12,930,615(41%)","0.00% / 7,811,060(25%)","+0.66% / 6,211,171(20%)","-2.75% / 5,320,225(17%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-1.54% / 24,180,938","-0.83% / 20,213,391(84%)","-2.41% / 26,093,094(108%)","-0.95% / 24,952,467(103%)","+0.58% / 18,583,553(77%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"+0.17% / 22,925,123","-1.22% / 22,007,856(96%)","-1.15% / 28,150,192(123%)","-1.52% / 37,243,312(162%)","+0.18% / 27,764,449(121%)"
YG PLUS,037270,https://finance.naver.com/item/main.nhn?code=037270,"+4.52% / 20,259,978","+1.92% / 6,727,409(33%)","+2.51% / 6,379,463(31%)","+0.37% / 4,651,761(23%)","-2.07% / 1,752,767(9%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"-1.73% / 18,903,597","+0.88% / 19,352,362(102%)","-0.70% / 17,613,355(93%)","+1.93% / 21,299,253(113%)","-1.38% / 12,610,347(67%)"
우리들휴브레인,118000,https://finance.naver.com/item/main.nhn?code=118000,"+4.26% / 17,075,321","+0.70% / 5,109,659(30%)","-4.31% / 2,773,846(16%)","-0.58% / 1,517,940(9%)","-1.46% / 882,786(5%)"
우리들제약,004720,https://finance.naver.com/item/main.nhn?code=004720,"+27.01% / 14,279,517","+29.75% / 14,718,769(103%)","-18.47% / 2,872,891(20%)","+1.56% / 2,083,273(15%)","+11.54% / 2,137,228(15%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+3.42% / 13,971,925","+1.75% / 11,419,990(82%)","+4.78% / 15,432,157(110%)","+1.94% / 19,589,184(140%)","-0.70% / 11,845,866(85%)"
두산중공업,034020,https://finance.naver.com/item/main.nhn?code=034020,"-10.19% / 12,705,759","+0.97% / 16,380,517(129%)","-0.32% / 4,338,481(34%)","-2.89% / 5,101,729(40%)","+0.77% / 7,418,756(58%)"
모나미,005360,https://finance.naver.com/item/main.nhn?code=005360,"-6.40% / 12,686,619","-1.43% / 18,897,866(149%)","-3.45% / 5,431,751(43%)","-2.42% / 3,274,106(26%)","0.00% / 4,602,399(36%)"
경인양행,012610,https://finance.naver.com/item/main.nhn?code=012610,"+11.07% / 11,254,701","-2.80% / 6,975,021(62%)","-1.75% / 3,452,807(31%)","-3.56% / 3,758,259(33%)","-2.71% / 1,598,383(14%)"
두산인프라코어,042670,https://finance.naver.com/item/main.nhn?code=042670,"+4.50% / 10,473,928","-0.67% / 14,708,175(140%)","-0.13% / 4,848,784(46%)","+0.40% / 4,710,759(45%)","+6.05% / 67,595,159(645%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"-1.67% / 10,327,528","+3.39% / 11,084,357(107%)","+4.92% / 16,882,022(163%)","+3.13% / 12,507,301(121%)","-1.52% / 6,309,055(61%)"
