종목명,코드,상세정보,20.08.11,20.08.12,20.08.13,20.08.14
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-2.68% / 176,358,160","-0.87% / 180,507,771(102%)","+0.13% / 152,113,272(86%)","+2.64% / 179,186,665(102%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+2.72% / 62,895,522","+0.98% / 46,573,625(74%)","-0.03% / 57,011,673(91%)","-2.72% / 48,489,925(77%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-1.29% / 36,692,079","-0.47% / 43,223,995(118%)","0.00% / 30,099,015(82%)","+1.41% / 39,752,122(108%)"
부산주공,005030,https://finance.naver.com/item/main.nhn?code=005030,"+29.79% / 36,588,536","-6.14% / 16,820,945(46%)","-5.08% / 3,828,650(10%)","-5.36% / 2,143,143(6%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+0.69% / 24,765,231","+1.37% / 18,013,798(73%)","-0.51% / 21,685,901(88%)","-1.19% / 13,120,467(53%)"
삼부토건,001470,https://finance.naver.com/item/main.nhn?code=001470,"+11.77% / 19,177,907","-5.22% / 4,272,861(22%)","+1.43% / 2,267,621(12%)","+0.50% / 1,762,364(9%)"
한국전력,015760,https://finance.naver.com/item/main.nhn?code=015760,"+7.97% / 18,796,399","-1.43% / 6,903,229(37%)","+4.11% / 12,420,093(66%)","+2.09% / 13,912,423(74%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"+0.39% / 18,233,086","+2.13% / 39,270,056(215%)","-1.99% / 32,977,731(181%)","+3.47% / 36,662,931(201%)"
SK증권,001510,https://finance.naver.com/item/main.nhn?code=001510,"+0.45% / 15,769,578","-2.01% / 8,710,716(55%)","-1.25% / 7,800,583(49%)","-2.53% / 6,524,997(41%)"
아시아나항공,020560,https://finance.naver.com/item/main.nhn?code=020560,"+3.60% / 15,763,698","+0.78% / 9,772,294(62%)","-3.44% / 4,809,950(31%)","-1.96% / 2,386,103(15%)"
범양건영,002410,https://finance.naver.com/item/main.nhn?code=002410,"+21.59% / 14,836,774","-0.14% / 9,877,755(67%)","+2.92% / 4,112,628(28%)","-8.10% / 4,095,578(28%)"
대웅,003090,https://finance.naver.com/item/main.nhn?code=003090,"-2.90% / 13,371,834","-0.14% / 2,592,506(19%)","-3.27% / 1,491,972(11%)","-2.53% / 1,314,791(10%)"
SK디스커버리,006120,https://finance.naver.com/item/main.nhn?code=006120,"+15.03% / 13,258,128","+5.17% / 4,543,783(34%)","-1.60% / 1,302,997(10%)","0.00% / 1,653,579(12%)"
이아이디,093230,https://finance.naver.com/item/main.nhn?code=093230,"+1.63% / 12,806,844","-1.61% / 8,349,780(65%)","+0.41% / 4,181,228(33%)","0.00% / 6,072,628(47%)"
유니온머티리얼,047400,https://finance.naver.com/item/main.nhn?code=047400,"+3.00% / 12,591,931","-4.55% / 4,426,429(35%)","-2.29% / 6,154,997(49%)","-4.49% / 2,439,288(19%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"-0.75% / 12,101,480","-4.41% / 23,628,111(195%)","+4.01% / 28,530,819(236%)","-6.37% / 20,874,395(172%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"+3.13% / 11,468,015","-1.52% / 10,806,487(94%)","+3.08% / 11,362,349(99%)","-1.49% / 6,798,290(59%)"
동화약품,000020,https://finance.naver.com/item/main.nhn?code=000020,"-19.47% / 10,733,581","+2.25% / 3,345,070(31%)","-9.62% / 3,128,322(29%)","-7.10% / 1,934,353(18%)"
남선알미늄,008350,https://finance.naver.com/item/main.nhn?code=008350,"+4.13% / 10,140,802","-1.32% / 3,117,463(31%)","+4.21% / 24,886,153(245%)","-3.31% / 9,480,611(93%)"
