종목명,코드,상세정보,20.09.23,20.09.24,20.09.25
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-0.12% / 274,472,013","+4.60% / 330,672,574(120%)","-1.01% / 213,128,973(78%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"-0.14% / 91,199,013","-4.46% / 92,853,391(102%)","+0.90% / 69,900,587(77%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-0.85% / 69,179,799","+5.18% / 78,670,081(114%)","-0.09% / 73,629,910(106%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-0.09% / 43,112,627","+2.27% / 59,384,963(138%)","-0.44% / 32,435,944(75%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+1.46% / 32,587,390","-9.81% / 45,095,784(138%)","-0.17% / 40,670,859(125%)"
세우글로벌,013000,https://finance.naver.com/item/main.nhn?code=013000,"+1.54% / 32,037,121","+7.67% / 30,155,553(94%)","-13.92% / 55,016,887(172%)"
두산인프라코어,042670,https://finance.naver.com/item/main.nhn?code=042670,"+0.76% / 26,677,672","+1.32% / 18,996,882(71%)","+3.04% / 33,817,440(127%)"
KEC,092220,https://finance.naver.com/item/main.nhn?code=092220,"-3.55% / 26,343,351","-14.04% / 16,487,343(63%)","-5.31% / 7,821,268(30%)"
이아이디,093230,https://finance.naver.com/item/main.nhn?code=093230,"+1.26% / 23,455,950","-5.96% / 15,643,275(67%)","-1.36% / 8,753,665(37%)"
TCC스틸,002710,https://finance.naver.com/item/main.nhn?code=002710,"-3.37% / 15,939,912","-10.68% / 2,173,942(14%)","-4.03% / 4,700,164(29%)"
진원생명과학,011000,https://finance.naver.com/item/main.nhn?code=011000,"-0.35% / 15,160,802","-11.30% / 17,364,129(115%)","-5.86% / 14,767,722(97%)"
태림포장,011280,https://finance.naver.com/item/main.nhn?code=011280,"+4.15% / 14,785,639","-5.11% / 3,705,528(25%)","0.00% / 17,651,958(119%)"
영진약품,003520,https://finance.naver.com/item/main.nhn?code=003520,"+3.76% / 14,502,242","-9.83% / 6,507,757(45%)","-0.64% / 4,919,705(34%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"-0.17% / 14,470,892","-1.37% / 17,467,669(121%)","+0.17% / 10,575,641(73%)"
남성,004270,https://finance.naver.com/item/main.nhn?code=004270,"+15.83% / 13,150,823","-3.11% / 6,907,977(53%)","-11.79% / 2,359,938(18%)"
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"+3.55% / 12,507,452","-2.04% / 8,033,515(64%)","-6.25% / 9,585,346(77%)"
KODEX 200,069500,https://finance.naver.com/item/main.nhn?code=069500,"+0.03% / 12,213,300","-2.31% / 18,314,696(150%)","+0.45% / 8,260,294(68%)"
써니전자,004770,https://finance.naver.com/item/main.nhn?code=004770,"+1.09% / 11,523,551","+0.11% / 21,873,260(190%)","-7.26% / 26,543,821(230%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"-1.82% / 10,971,704","+1.85% / 12,960,266(118%)","+1.82% / 11,485,073(105%)"
유성기업,002920,https://finance.naver.com/item/main.nhn?code=002920,"+28.60% / 10,554,615","-17.59% / 5,797,983(55%)","-0.77% / 1,815,725(17%)"
