종목명,코드,상세정보,20.09.21,20.09.23,20.09.24,20.09.25
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"+1.50% / 154,543,600","-0.12% / 274,472,013(178%)","+4.60% / 330,672,574(214%)","-1.01% / 213,128,973(138%)"
이아이디,093230,https://finance.naver.com/item/main.nhn?code=093230,"+23.26% / 113,802,653","+1.26% / 23,455,950(21%)","-5.96% / 15,643,275(14%)","-1.36% / 8,753,665(8%)"
세우글로벌,013000,https://finance.naver.com/item/main.nhn?code=013000,"+2.74% / 84,084,026","+1.54% / 32,037,121(38%)","+7.67% / 30,155,553(36%)","-13.92% / 55,016,887(65%)"
써니전자,004770,https://finance.naver.com/item/main.nhn?code=004770,"+12.30% / 61,404,124","+1.09% / 11,523,551(19%)","+0.11% / 21,873,260(36%)","-7.26% / 26,543,821(43%)"
보해양조,000890,https://finance.naver.com/item/main.nhn?code=000890,"+8.36% / 55,789,707","-2.15% / 5,365,038(10%)","-2.88% / 4,020,126(7%)","+0.11% / 2,709,479(5%)"
KEC,092220,https://finance.naver.com/item/main.nhn?code=092220,"+5.11% / 53,785,756","-3.55% / 26,343,351(49%)","-14.04% / 16,487,343(31%)","-5.31% / 7,821,268(15%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"-1.65% / 52,049,076","-0.14% / 91,199,013(175%)","-4.46% / 92,853,391(178%)","+0.90% / 69,900,587(134%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"+2.60% / 47,123,972","-0.85% / 69,179,799(147%)","+5.18% / 78,670,081(167%)","-0.09% / 73,629,910(156%)"
진원생명과학,011000,https://finance.naver.com/item/main.nhn?code=011000,"+29.00% / 38,099,578","-0.35% / 15,160,802(40%)","-11.30% / 17,364,129(46%)","-5.86% / 14,767,722(39%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"+0.93% / 34,420,897","-0.09% / 43,112,627(125%)","+2.27% / 59,392,974(173%)","-0.44% / 32,435,944(94%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"-4.65% / 27,665,830","+1.46% / 32,587,390(118%)","-9.81% / 45,095,784(163%)","-0.17% / 40,670,859(147%)"
부산주공,005030,https://finance.naver.com/item/main.nhn?code=005030,"+17.47% / 20,730,752","+4.43% / 9,272,618(45%)","-2.73% / 4,183,021(20%)","-2.20% / 2,206,291(11%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"-1.64% / 14,906,346","-1.82% / 10,971,704(74%)","+1.85% / 12,960,266(87%)","+1.82% / 11,485,073(77%)"
조일알미늄,018470,https://finance.naver.com/item/main.nhn?code=018470,"+9.09% / 13,781,529","-6.40% / 1,653,034(12%)","-5.50% / 900,561(7%)","+1.78% / 341,813(2%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"0.00% / 13,420,777","-0.17% / 14,470,892(108%)","-1.37% / 17,467,800(130%)","+0.17% / 10,575,641(79%)"
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"-0.66% / 12,650,611","+3.55% / 12,507,452(99%)","-2.04% / 8,033,515(64%)","-6.25% / 9,585,346(76%)"
두산인프라코어,042670,https://finance.naver.com/item/main.nhn?code=042670,"+0.74% / 11,868,623","+0.76% / 26,677,672(225%)","+1.32% / 18,996,882(160%)","+3.04% / 33,817,440(285%)"
우리들휴브레인,118000,https://finance.naver.com/item/main.nhn?code=118000,"+1.53% / 11,232,220","-3.30% / 3,160,108(28%)","-7.43% / 3,793,541(34%)","-0.12% / 2,347,357(21%)"
동양물산,002900,https://finance.naver.com/item/main.nhn?code=002900,"-5.11% / 11,206,825","+1.24% / 2,222,947(20%)","+1.26% / 10,689,478(95%)","+13.64% / 34,016,761(304%)"
인스코비,006490,https://finance.naver.com/item/main.nhn?code=006490,"+9.52% / 10,335,447","-2.43% / 2,759,929(27%)","-6.58% / 2,350,333(23%)","+0.21% / 6,939,992(67%)"
삼성 레버리지 WTI원유 선물 ETN,530031,https://finance.naver.com/item/main.nhn?code=530031,"-1.35% / 10,007,192","-1.49% / 1,611,126(16%)","+3.03% / 9,093,391(91%)","+1.47% / 7,919,865(79%)"
