종목명,코드,상세정보,20.09.16,20.09.18
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"+0.64% / 105,048,803","-0.87% / 90,967,767(87%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"-0.66% / 43,925,593","+0.88% / 32,727,796(75%)"
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"+5.64% / 35,567,567","+1.33% / 15,152,172(43%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"+0.30% / 35,086,102","-0.69% / 25,049,534(71%)"
한창제지,009460,https://finance.naver.com/item/main.nhn?code=009460,"+10.02% / 31,432,786","-2.23% / 1,652,396(5%)"
한창,005110,https://finance.naver.com/item/main.nhn?code=005110,"+29.91% / 27,968,870","+14.29% / 31,290,871(112%)"
부산주공,005030,https://finance.naver.com/item/main.nhn?code=005030,"+15.61% / 26,744,224","-2.76% / 3,222,406(12%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"+0.28% / 25,908,884","-0.46% / 24,003,446(93%)"
진원생명과학,011000,https://finance.naver.com/item/main.nhn?code=011000,"+10.29% / 24,524,795","-3.97% / 3,512,000(14%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"-0.62% / 20,418,501","+1.25% / 11,020,994(54%)"
삼성 레버리지 WTI원유 선물 ETN,530031,https://finance.naver.com/item/main.nhn?code=530031,"+8.06% / 20,300,318","+5.88% / 17,802,086(88%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"+8.00% / 20,224,867","+10.91% / 23,900,467(118%)"
이엔플러스,074610,https://finance.naver.com/item/main.nhn?code=074610,"-14.81% / 19,803,699","-4.02% / 1,150,999(6%)"
국동,005320,https://finance.naver.com/item/main.nhn?code=005320,"-8.53% / 17,069,047","-2.39% / 1,878,214(11%)"
국보,001140,https://finance.naver.com/item/main.nhn?code=001140,"+7.97% / 17,033,388","+0.59% / 1,278,533(8%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"0.00% / 16,959,959","-0.17% / 9,231,430(54%)"
코오롱머티리얼,144620,https://finance.naver.com/item/main.nhn?code=144620,"+1.79% / 16,637,247","-3.39% / 919,434(6%)"
백광산업,001340,https://finance.naver.com/item/main.nhn?code=001340,"+1.05% / 16,490,691","-1.88% / 1,246,628(8%)"
한화시스템,272210,https://finance.naver.com/item/main.nhn?code=272210,"+3.72% / 14,164,253","-2.00% / 808,602(6%)"
