종목명,코드,상세정보,20.08.10,20.08.11,20.08.12,20.08.13,20.08.14
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-2.95% / 152,448,032","-2.68% / 176,358,160(116%)","-0.87% / 180,507,771(118%)","+0.13% / 152,113,272(100%)","+2.64% / 179,186,665(118%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+2.80% / 46,912,145","+2.72% / 62,895,522(134%)","+0.98% / 46,573,625(99%)","-0.03% / 57,011,673(122%)","-2.72% / 48,489,925(103%)"
백광산업,001340,https://finance.naver.com/item/main.nhn?code=001340,"+8.66% / 42,412,467","-7.11% / 7,268,892(17%)","-6.73% / 3,496,213(8%)","+3.82% / 2,383,638(6%)","+0.14% / 1,635,774(4%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-1.46% / 33,736,996","-1.29% / 36,692,079(109%)","-0.47% / 43,223,995(128%)","0.00% / 30,099,015(89%)","+1.41% / 39,752,122(118%)"
오리엔트바이오,002630,https://finance.naver.com/item/main.nhn?code=002630,"+8.36% / 21,920,377","-3.20% / 4,966,519(23%)","+0.68% / 7,221,754(33%)","+5.88% / 25,711,651(117%)","+29.81% / 41,606,482(190%)"
두산인프라코어,042670,https://finance.naver.com/item/main.nhn?code=042670,"+3.43% / 17,580,098","-1.15% / 8,111,324(46%)","+0.39% / 6,117,267(35%)","+1.03% / 5,123,389(29%)","+0.64% / 27,288,860(155%)"
덕양산업,024900,https://finance.naver.com/item/main.nhn?code=024900,"+8.47% / 17,339,781","-1.80% / 2,630,586(15%)","+29.97% / 28,549,439(165%)","-3.53% / 30,817,093(178%)","-7.07% / 6,056,393(35%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+0.52% / 17,206,732","+0.69% / 24,765,231(144%)","+1.37% / 18,013,798(105%)","-0.51% / 21,685,901(126%)","-1.19% / 13,120,467(76%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-0.29% / 17,164,653","+0.39% / 18,233,086(106%)","+2.13% / 39,270,056(229%)","-1.99% / 32,977,731(192%)","+3.47% / 36,662,931(214%)"
SK증권,001510,https://finance.naver.com/item/main.nhn?code=001510,"+2.64% / 16,210,811","+0.45% / 15,769,578(97%)","-2.01% / 8,710,716(54%)","-1.25% / 7,800,583(48%)","-2.53% / 6,524,997(40%)"
대웅,003090,https://finance.naver.com/item/main.nhn?code=003090,"+20.32% / 15,177,073","-2.90% / 13,371,834(88%)","-0.14% / 2,592,506(17%)","-3.27% / 1,491,972(10%)","-2.53% / 1,314,791(9%)"
우리들제약,004720,https://finance.naver.com/item/main.nhn?code=004720,"0.00% / 14,223,633","-10.67% / 5,310,954(37%)","-7.09% / 4,140,331(29%)","0.00% / 2,950,512(21%)","-5.62% / 2,425,516(17%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+0.76% / 14,028,063","-0.75% / 12,101,480(86%)","-4.41% / 23,628,111(168%)","+4.01% / 28,530,819(203%)","-6.37% / 20,874,395(149%)"
한화생명,088350,https://finance.naver.com/item/main.nhn?code=088350,"+4.79% / 11,046,121","+2.94% / 7,800,520(71%)","+3.49% / 11,367,957(103%)","+0.92% / 27,951,551(253%)","-1.52% / 9,989,317(90%)"
경농,002100,https://finance.naver.com/item/main.nhn?code=002100,"+14.15% / 10,124,069","+2.20% / 1,470,183(15%)","-6.47% / 806,316(8%)","-0.29% / 464,263(5%)","-4.62% / 584,747(6%)"
