종목명,코드,상세정보,20.08.13,20.08.14
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"+0.13% / 152,113,272","+2.64% / 179,186,665(118%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"-0.03% / 57,011,673","-2.72% / 48,489,925(85%)"
알루코,001780,https://finance.naver.com/item/main.nhn?code=001780,"+29.87% / 38,727,233","-27.34% / 36,730,964(95%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-1.99% / 32,977,731","+3.47% / 36,523,820(111%)"
덕양산업,024900,https://finance.naver.com/item/main.nhn?code=024900,"-3.53% / 30,817,093","-7.07% / 6,056,393(20%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"0.00% / 30,099,015","+1.41% / 39,752,122(132%)"
YG PLUS,037270,https://finance.naver.com/item/main.nhn?code=037270,"+3.00% / 28,628,424","+3.52% / 6,601,447(23%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+4.01% / 28,530,819","-6.48% / 20,802,506(73%)"
한화생명,088350,https://finance.naver.com/item/main.nhn?code=088350,"+0.92% / 27,951,551","-1.52% / 9,989,317(36%)"
오리엔트바이오,002630,https://finance.naver.com/item/main.nhn?code=002630,"+5.88% / 25,711,651","+29.81% / 41,606,482(162%)"
남선알미늄,008350,https://finance.naver.com/item/main.nhn?code=008350,"+4.21% / 24,886,153","-3.31% / 9,480,611(38%)"
형지엘리트,093240,https://finance.naver.com/item/main.nhn?code=093240,"+6.85% / 24,718,089","+9.75% / 28,849,321(117%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"-0.51% / 21,685,901","-1.19% / 13,120,467(61%)"
한온시스템,018880,https://finance.naver.com/item/main.nhn?code=018880,"+6.25% / 16,077,227","+2.35% / 3,839,658(24%)"
인지컨트롤스,023800,https://finance.naver.com/item/main.nhn?code=023800,"+8.90% / 15,251,548","-0.52% / 9,280,519(61%)"
서연,007860,https://finance.naver.com/item/main.nhn?code=007860,"+11.27% / 14,044,980","+3.38% / 12,806,821(91%)"
한국전력,015760,https://finance.naver.com/item/main.nhn?code=015760,"+4.11% / 12,420,093","+2.09% / 13,912,423(112%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"+3.08% / 11,362,349","-1.49% / 6,798,290(60%)"
에이프로젠 KIC,007460,https://finance.naver.com/item/main.nhn?code=007460,"+5.37% / 11,013,944","-3.16% / 2,855,396(26%)"
