종목명,코드,상세정보,20.10.20,20.10.21,20.10.22,20.10.23
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-1.58% / 222,977,491","-0.62% / 128,291,837(58%)","+1.49% / 140,093,516(63%)","-0.73% / 143,612,989(64%)"
KEC,092220,https://finance.naver.com/item/main.nhn?code=092220,"-15.33% / 130,591,348","-6.90% / 39,242,186(30%)","-3.94% / 59,727,801(46%)","-8.19% / 19,889,964(15%)"
한솔홈데코,025750,https://finance.naver.com/item/main.nhn?code=025750,"-9.84% / 113,148,487","+1.56% / 29,066,236(26%)","-7.42% / 15,691,347(14%)","+0.55% / 26,949,533(24%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-0.99% / 92,881,259","-0.91% / 78,199,448(84%)","+3.21% / 65,551,735(71%)","+0.44% / 96,875,864(104%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+1.37% / 62,085,265","+0.69% / 48,039,997(77%)","-1.45% / 53,587,291(86%)","+0.70% / 50,182,724(81%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+1.71% / 49,151,971","+1.64% / 39,031,098(79%)","-6.16% / 35,601,012(72%)","-1.22% / 39,995,730(81%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-0.83% / 47,373,800","-0.19% / 29,133,374(61%)","+0.65% / 30,478,152(64%)","-0.28% / 33,388,036(70%)"
성창기업지주,000180,https://finance.naver.com/item/main.nhn?code=000180,"+6.36% / 44,704,220","+13.86% / 27,855,742(62%)","-8.35% / 4,760,198(11%)","-3.65% / 2,305,286(5%)"
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"+2.35% / 26,513,402","+0.33% / 15,297,806(58%)","-3.75% / 7,930,990(30%)","+3.56% / 14,522,434(55%)"
윌비스,008600,https://finance.naver.com/item/main.nhn?code=008600,"-4.62% / 25,432,230","+2.02% / 2,420,602(10%)","-3.56% / 1,745,856(7%)","+0.82% / 2,203,720(9%)"
CJ씨푸드,011150,https://finance.naver.com/item/main.nhn?code=011150,"+9.24% / 24,641,125","0.00% / 9,588,422(39%)","+15.59% / 60,310,097(245%)","-16.12% / 24,634,531(100%)"
태림포장,011280,https://finance.naver.com/item/main.nhn?code=011280,"+3.48% / 21,177,017","-5.42% / 19,762,668(93%)","-5.63% / 3,213,539(15%)","+9.53% / 12,721,187(60%)"
대창,012800,https://finance.naver.com/item/main.nhn?code=012800,"+6.52% / 20,545,064","+2.04% / 14,394,384(70%)","0.00% / 14,163,257(69%)","-2.00% / 3,728,061(18%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+1.50% / 18,899,317","0.00% / 15,440,140(82%)","-1.31% / 13,382,307(71%)","+0.17% / 8,417,981(45%)"
한국전자홀딩스,006200,https://finance.naver.com/item/main.nhn?code=006200,"-13.85% / 17,608,888","-2.04% / 2,462,934(14%)","-2.20% / 4,723,444(27%)","-4.73% / 1,529,174(9%)"
KR모터스,000040,https://finance.naver.com/item/main.nhn?code=000040,"+2.34% / 14,904,543","-7.76% / 17,447,267(117%)","-6.93% / 6,223,961(42%)","-1.06% / 3,212,889(22%)"
모나리자,012690,https://finance.naver.com/item/main.nhn?code=012690,"+1.95% / 12,400,346","+0.19% / 1,478,210(12%)","+3.81% / 2,804,344(23%)","-2.20% / 898,288(7%)"
