종목명,코드,상세정보,20.09.28
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-2.85% / 146,066,968"
두산인프라코어,042670,https://finance.naver.com/item/main.nhn?code=042670,"-3.79% / 74,332,092"
콤텍시스템,031820,https://finance.naver.com/item/main.nhn?code=031820,"+29.76% / 74,091,466"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-4.30% / 53,013,214"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+2.92% / 46,619,831"
이아이디,093230,https://finance.naver.com/item/main.nhn?code=093230,"+11.47% / 35,335,634"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-1.60% / 32,120,561"
세우글로벌,013000,https://finance.naver.com/item/main.nhn?code=013000,"+18.75% / 24,015,300"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+8.05% / 23,645,320"
동양물산,002900,https://finance.naver.com/item/main.nhn?code=002900,"-2.91% / 18,082,122"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+0.52% / 12,561,607"
보락,002760,https://finance.naver.com/item/main.nhn?code=002760,"+6.02% / 10,168,070"
