종목명,코드,상세정보,20.10.08,20.10.12
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"+27.54% / 167,912,458","+1.38% / 137,679,385(82%)"
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-0.88% / 139,808,772","-0.63% / 97,575,973(70%)"
까뮤이앤씨,013700,https://finance.naver.com/item/main.nhn?code=013700,"+17.31% / 89,878,772","+8.20% / 79,928,105(89%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+0.91% / 51,135,641","+0.78% / 40,680,544(80%)"
KEC,092220,https://finance.naver.com/item/main.nhn?code=092220,"+7.31% / 38,563,247","+0.72% / 7,132,914(18%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"+0.19% / 28,564,129","-0.29% / 22,604,051(79%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-0.37% / 27,567,106","-0.19% / 27,255,435(99%)"
이아이디,093230,https://finance.naver.com/item/main.nhn?code=093230,"-3.23% / 19,590,542","-4.48% / 13,699,137(70%)"
현대약품,004310,https://finance.naver.com/item/main.nhn?code=004310,"+1.98% / 19,371,160","-3.63% / 1,945,137(10%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+0.17% / 18,881,401","+1.17% / 14,267,272(76%)"
KR모터스,000040,https://finance.naver.com/item/main.nhn?code=000040,"+0.35% / 18,838,744","+0.12% / 3,619,820(19%)"
오리엔트바이오,002630,https://finance.naver.com/item/main.nhn?code=002630,"+4.32% / 17,948,494","+2.69% / 3,421,838(19%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"-0.31% / 15,483,173","+0.77% / 13,195,066(85%)"
한솔홈데코,025750,https://finance.naver.com/item/main.nhn?code=025750,"+6.43% / 15,223,781","+2.75% / 26,484,527(174%)"
동양물산,002900,https://finance.naver.com/item/main.nhn?code=002900,"+1.40% / 14,234,983","+1.39% / 4,647,135(33%)"
명문제약,017180,https://finance.naver.com/item/main.nhn?code=017180,"-0.96% / 14,059,889","-4.17% / 3,056,937(22%)"
화인베스틸,133820,https://finance.naver.com/item/main.nhn?code=133820,"+8.91% / 13,272,310","+3.24% / 3,353,847(25%)"
세우글로벌,013000,https://finance.naver.com/item/main.nhn?code=013000,"-3.86% / 12,904,671","-2.09% / 2,289,579(18%)"
한화솔루션,009830,https://finance.naver.com/item/main.nhn?code=009830,"+9.30% / 12,477,747","+0.10% / 5,564,545(45%)"
부산주공,005030,https://finance.naver.com/item/main.nhn?code=005030,"+0.42% / 12,160,906","0.00% / 6,908,767(57%)"
써니전자,004770,https://finance.naver.com/item/main.nhn?code=004770,"-2.94% / 10,436,059","-0.30% / 8,907,505(85%)"
