종목명,코드,상세정보,20.08.28,20.08.31,20.09.01,20.09.02,20.09.03
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-1.53% / 181,277,513","+3.22% / 198,177,834(109%)","-1.62% / 194,337,774(107%)","-0.94% / 158,159,336(87%)","-2.61% / 179,910,015(99%)"
금호에이치티,214330,https://finance.naver.com/item/main.nhn?code=214330,"-3.78% / 72,226,846","+20.71% / 91,529,517(127%)","-0.59% / 75,461,702(104%)","+2.97% / 18,872,175(26%)","-7.39% / 22,758,360(32%)"
동방,004140,https://finance.naver.com/item/main.nhn?code=004140,"+19.16% / 70,232,863","-2.88% / 12,984,026(18%)","-1.06% / 4,895,939(7%)","-3.02% / 14,670,688(21%)","+0.90% / 2,474,391(4%)"
YG PLUS,037270,https://finance.naver.com/item/main.nhn?code=037270,"+8.91% / 56,922,279","-7.45% / 10,138,502(18%)","-1.57% / 4,998,109(9%)","+0.50% / 2,543,087(4%)","+1.40% / 1,829,837(3%)"
두산중공업,034020,https://finance.naver.com/item/main.nhn?code=034020,"+26.21% / 52,932,322","+23.85% / 72,334,315(137%)","-2.48% / 23,106,150(44%)","+5.02% / 44,291,294(84%)","-1.19% / 12,931,711(24%)"
CJ씨푸드,011150,https://finance.naver.com/item/main.nhn?code=011150,"+15.13% / 52,661,760","+7.08% / 65,824,070(125%)","-7.80% / 10,053,124(19%)","-0.92% / 6,997,700(13%)","-1.30% / 4,940,698(9%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+1.35% / 48,928,222","-3.01% / 67,045,571(137%)","+1.42% / 49,436,586(101%)","+0.92% / 54,218,664(111%)","+2.87% / 48,125,644(98%)"
서울식품,004410,https://finance.naver.com/item/main.nhn?code=004410,"+1.85% / 33,968,014","+10.56% / 606,856,715(1787%)","-7.87% / 65,469,997(193%)","+0.61% / 24,035,948(71%)","-2.42% / 19,905,673(59%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-1.32% / 33,514,425","-0.57% / 34,276,378(102%)","-0.29% / 26,648,092(80%)","-2.31% / 30,208,201(90%)","-0.10% / 14,996,155(45%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-0.54% / 32,795,738","+1.64% / 40,703,141(124%)","-0.81% / 39,585,556(121%)","-0.45% / 28,262,969(86%)","-1.28% / 32,469,187(99%)"
진원생명과학,011000,https://finance.naver.com/item/main.nhn?code=011000,"+4.85% / 32,170,967","+9.54% / 18,977,484(59%)","-0.87% / 10,175,965(32%)","+1.93% / 19,854,842(62%)","-1.72% / 6,270,733(19%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+2.67% / 27,141,664","+1.37% / 18,673,848(69%)","+0.49% / 14,342,008(53%)","+4.55% / 19,540,905(72%)","+0.39% / 12,294,045(45%)"
두산인프라코어,042670,https://finance.naver.com/item/main.nhn?code=042670,"+4.60% / 25,439,992","+2.03% / 12,277,948(48%)","-2.11% / 5,140,179(20%)","+0.89% / 7,683,265(30%)","+0.13% / 4,829,579(19%)"
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"-6.36% / 17,865,928","+2.31% / 16,173,843(91%)","-0.65% / 10,261,815(57%)","-2.61% / 12,958,254(73%)","+4.03% / 21,179,058(119%)"
부산주공,005030,https://finance.naver.com/item/main.nhn?code=005030,"+29.94% / 17,211,575","-10.29% / 10,647,302(62%)","0.00% / 1,831,027(11%)","+5.18% / 11,278,980(66%)","-3.12% / 2,581,678(15%)"
대영포장,014160,https://finance.naver.com/item/main.nhn?code=014160,"+9.53% / 16,583,998","-0.46% / 8,010,980(48%)","-1.39% / 2,333,347(14%)","+9.35% / 88,595,015(534%)","-2.58% / 7,790,757(47%)"
태림포장,011280,https://finance.naver.com/item/main.nhn?code=011280,"+16.94% / 16,228,482","-1.25% / 16,187,236(100%)","-3.42% / 3,243,210(20%)","+21.44% / 66,924,864(412%)","-5.66% / 7,407,973(46%)"
유엔젤,072130,https://finance.naver.com/item/main.nhn?code=072130,"+5.50% / 15,213,795","-3.41% / 1,598,645(11%)","-6.14% / 1,264,330(8%)","+1.10% / 1,933,028(13%)","+3.61% / 5,774,281(38%)"
한익스프레스,014130,https://finance.naver.com/item/main.nhn?code=014130,"+29.91% / 15,160,143","-2.85% / 12,137,140(80%)","+3.09% / 3,670,843(24%)","+2.86% / 5,643,967(37%)","-3.86% / 1,577,170(10%)"
오리엔트바이오,002630,https://finance.naver.com/item/main.nhn?code=002630,"+0.24% / 14,540,081","-3.33% / 6,505,125(45%)","-7.14% / 11,297,700(78%)","-7.98% / 10,900,555(75%)","+1.73% / 6,186,597(43%)"
한솔로지스틱스,009180,https://finance.naver.com/item/main.nhn?code=009180,"+7.36% / 13,297,759","+2.93% / 5,250,116(39%)","-3.51% / 2,265,685(17%)","+9.34% / 7,132,805(54%)","-1.67% / 2,441,655(18%)"
