종목명,코드,상세정보,20.09.15,20.09.16,20.09.18
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-1.39% / 105,308,052","+0.64% / 105,048,803(100%)","-0.87% / 90,967,767(86%)"
백광산업,001340,https://finance.naver.com/item/main.nhn?code=001340,"+10.29% / 63,751,168","+1.05% / 16,490,691(26%)","-1.88% / 1,246,628(2%)"
대유플러스,000300,https://finance.naver.com/item/main.nhn?code=000300,"-2.42% / 56,589,589","-6.27% / 8,456,625(15%)","-0.33% / 4,646,587(8%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+1.43% / 46,314,802","-0.66% / 43,925,593(95%)","+0.88% / 32,727,796(71%)"
보락,002760,https://finance.naver.com/item/main.nhn?code=002760,"+0.35% / 38,328,652","-5.96% / 3,290,963(9%)","+2.10% / 1,249,606(3%)"
쌍용차,003620,https://finance.naver.com/item/main.nhn?code=003620,"-11.21% / 32,512,643","-7.12% / 7,614,464(23%)","-2.98% / 1,572,123(5%)"
국동,005320,https://finance.naver.com/item/main.nhn?code=005320,"+29.91% / 29,448,638","-8.53% / 17,069,047(58%)","-2.39% / 1,878,214(6%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-1.19% / 24,684,822","+0.30% / 35,086,102(142%)","-0.69% / 25,049,534(101%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-0.66% / 23,685,832","+0.28% / 25,908,884(109%)","-0.46% / 24,003,446(101%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+2.37% / 16,908,637","-0.62% / 20,418,501(121%)","+1.25% / 11,020,994(65%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+0.83% / 16,812,250","0.00% / 16,959,959(101%)","-0.17% / 9,231,430(55%)"
지엠비코리아,013870,https://finance.naver.com/item/main.nhn?code=013870,"+1.44% / 15,404,777","-4.75% / 899,511(6%)","+2.61% / 294,656(2%)"
진흥기업,002780,https://finance.naver.com/item/main.nhn?code=002780,"+11.99% / 14,570,717","+10.98% / 8,698,521(60%)","-0.19% / 3,726,295(26%)"
동양피스톤,092780,https://finance.naver.com/item/main.nhn?code=092780,"+29.96% / 13,739,653","-7.64% / 4,299,157(31%)","-4.54% / 483,246(4%)"
신성이엔지,011930,https://finance.naver.com/item/main.nhn?code=011930,"-3.92% / 13,202,086","+5.64% / 35,567,567(269%)","+1.11% / 15,154,663(115%)"
삼부토건,001470,https://finance.naver.com/item/main.nhn?code=001470,"+13.17% / 12,559,057","+0.28% / 8,271,037(66%)","-9.01% / 5,167,966(41%)"
화신,010690,https://finance.naver.com/item/main.nhn?code=010690,"+4.90% / 10,493,529","+6.23% / 1,726,225(16%)","+1.45% / 455,439(4%)"
삼성 레버리지 WTI원유 선물 ETN,530031,https://finance.naver.com/item/main.nhn?code=530031,"-1.59% / 10,131,635","+8.06% / 20,300,318(200%)","+5.88% / 17,802,086(176%)"
