종목명,코드,상세정보,20.08.04,20.08.05,20.08.06,20.08.07
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-2.27% / 122,542,877","-2.32% / 137,802,891(112%)","-3.17% / 199,852,613(163%)","+0.35% / 125,167,516(102%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+2.36% / 48,651,260","+2.27% / 42,101,486(87%)","+3.19% / 64,079,397(132%)","-0.37% / 43,130,222(89%)"
신성통상,005390,https://finance.naver.com/item/main.nhn?code=005390,"+2.22% / 47,977,631","-4.78% / 14,014,186(29%)","-3.20% / 10,094,699(21%)","+0.24% / 6,866,044(14%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-1.22% / 22,007,856","-1.15% / 28,150,192(128%)","-1.52% / 37,243,312(169%)","+0.18% / 27,764,449(126%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-0.83% / 20,213,391","-2.41% / 26,093,094(129%)","-0.95% / 24,952,467(123%)","+0.58% / 18,582,429(92%)"
드림텍,192650,https://finance.naver.com/item/main.nhn?code=192650,"-6.45% / 19,726,318","+1.06% / 5,879,917(30%)","-1.31% / 12,735,025(65%)","+1.06% / 3,914,165(20%)"
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+0.88% / 19,352,362","-0.70% / 17,613,355(91%)","+1.93% / 21,299,253(110%)","-1.38% / 12,610,347(65%)"
모나미,005360,https://finance.naver.com/item/main.nhn?code=005360,"-1.43% / 18,897,866","-3.45% / 5,431,751(29%)","-2.42% / 3,274,106(17%)","0.00% / 4,602,399(24%)"
서연,007860,https://finance.naver.com/item/main.nhn?code=007860,"+9.57% / 17,555,028","+8.35% / 12,871,417(73%)","+24.42% / 28,501,226(162%)","+6.57% / 20,016,803(114%)"
두산중공업,034020,https://finance.naver.com/item/main.nhn?code=034020,"+0.97% / 16,380,517","-0.32% / 4,338,481(26%)","-2.89% / 5,101,729(31%)","+0.77% / 7,418,756(45%)"
우리들제약,004720,https://finance.naver.com/item/main.nhn?code=004720,"+29.75% / 14,718,769","-18.47% / 2,872,891(20%)","+1.56% / 2,083,273(14%)","+11.54% / 2,137,228(15%)"
두산인프라코어,042670,https://finance.naver.com/item/main.nhn?code=042670,"-0.67% / 14,708,175","-0.13% / 4,848,784(33%)","+0.40% / 4,710,759(32%)","+6.05% / 67,595,159(460%)"
덕성,004830,https://finance.naver.com/item/main.nhn?code=004830,"+6.02% / 13,489,433","+2.54% / 4,544,440(34%)","+12.98% / 16,838,407(125%)","+4.22% / 10,427,236(77%)"
대한전선,001440,https://finance.naver.com/item/main.nhn?code=001440,"-3.43% / 12,930,615","0.00% / 7,811,060(60%)","+0.66% / 6,211,171(48%)","-2.75% / 5,320,225(41%)"
SK증권,001510,https://finance.naver.com/item/main.nhn?code=001510,"+4.53% / 11,909,284","-1.05% / 13,646,386(115%)","+3.91% / 21,374,668(179%)","-0.91% / 8,983,986(75%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+1.75% / 11,419,990","+4.78% / 15,432,157(135%)","+1.94% / 19,589,184(172%)","-0.70% / 11,845,866(104%)"
신한 레버리지 WTI원유 선물 ETN(H),500019,https://finance.naver.com/item/main.nhn?code=500019,"+3.39% / 11,084,357","+4.92% / 16,882,022(152%)","+3.13% / 12,507,301(113%)","-1.52% / 6,309,055(57%)"
아시아나항공,020560,https://finance.naver.com/item/main.nhn?code=020560,"+3.02% / 10,809,241","-0.86% / 4,396,936(41%)","+0.86% / 2,685,665(25%)","+4.16% / 12,787,218(118%)"
에이프로젠제약,003060,https://finance.naver.com/item/main.nhn?code=003060,"+3.01% / 10,755,780","+0.65% / 19,954,373(186%)","0.00% / 5,106,192(47%)","-2.26% / 3,280,779(31%)"
메리츠증권,008560,https://finance.naver.com/item/main.nhn?code=008560,"+10.74% / 10,042,208","+1.01% / 9,099,343(91%)","-2.29% / 5,847,552(58%)","-1.47% / 2,515,246(25%)"
