종목명,코드,상세정보,20.07.17,20.07.21,20.07.22,20.07.23
KODEX 200선물인버스2X,252670,https://finance.naver.com/item/main.nhn?code=252670,"-1.51% / 126,363,980","-3.05% / 137,715,459(109%)","+0.73% / 116,147,056(92%)","+1.15% / 129,945,874(103%)"
KODEX 레버리지,122630,https://finance.naver.com/item/main.nhn?code=122630,"+1.47% / 46,627,508","+2.88% / 54,606,204(117%)","-0.75% / 39,942,119(86%)","-1.24% / 61,128,411(131%)"
형지엘리트,093240,https://finance.naver.com/item/main.nhn?code=093240,"+14.70% / 40,350,783","-0.73% / 2,469,466(6%)","-1.72% / 1,194,136(3%)","-6.02% / 1,016,789(3%)"
KODEX 코스닥150선물인버스,251340,https://finance.naver.com/item/main.nhn?code=251340,"-1.20% / 26,013,880","-1.39% / 21,988,356(85%)","-0.44% / 21,662,466(83%)","-1.50% / 34,227,872(132%)"
에이프로젠제약,003060,https://finance.naver.com/item/main.nhn?code=003060,"-3.99% / 22,602,622","+0.33% / 17,122,715(76%)","-1.64% / 7,769,672(34%)","+4.67% / 24,009,825(106%)"
KODEX 인버스,114800,https://finance.naver.com/item/main.nhn?code=114800,"-0.92% / 20,093,299","-1.44% / 28,558,008(142%)","+0.34% / 22,056,890(110%)","+0.68% / 23,171,070(115%)"
대덕전자,353200,https://finance.naver.com/item/main.nhn?code=353200,"+5.15% / 19,012,892","-4.88% / 3,406,701(18%)","+7.69% / 15,195,122(80%)","+2.78% / 5,556,645(29%)"
SG세계물산,004060,https://finance.naver.com/item/main.nhn?code=004060,"+0.35% / 16,979,272","0.00% / 13,833,070(81%)","-4.07% / 6,675,687(39%)","-2.58% / 4,409,469(26%)"
디피씨,026890,https://finance.naver.com/item/main.nhn?code=026890,"+3.95% / 15,195,095","-8.60% / 13,130,173(86%)","+4.71% / 5,911,740(39%)","-3.65% / 4,456,053(29%)"
KODEX 코스닥150 레버리지,233740,https://finance.naver.com/item/main.nhn?code=233740,"+2.38% / 14,613,440","+2.55% / 16,113,845(110%)","+0.96% / 14,726,536(101%)","+2.90% / 17,034,679(117%)"
일양약품,007570,https://finance.naver.com/item/main.nhn?code=007570,"+13.82% / 14,609,398","+17.73% / 10,083,211(69%)","-0.92% / 5,891,321(40%)","-2.79% / 5,161,390(35%)"
SK증권,001510,https://finance.naver.com/item/main.nhn?code=001510,"+0.34% / 14,171,245","-0.23% / 10,084,905(71%)","+0.11% / 35,918,190(253%)","-3.76% / 17,986,552(127%)"
백광산업,001340,https://finance.naver.com/item/main.nhn?code=001340,"+5.12% / 13,990,547","+6.12% / 19,711,844(141%)","-0.30% / 3,322,866(24%)","+5.79% / 8,234,985(59%)"
덕성,004830,https://finance.naver.com/item/main.nhn?code=004830,"+2.04% / 10,479,229","-1.01% / 935,509(9%)","-1.12% / 560,625(5%)","-2.17% / 698,100(7%)"
YG PLUS,037270,https://finance.naver.com/item/main.nhn?code=037270,"+0.27% / 10,399,582","-3.46% / 2,815,535(27%)","-0.43% / 2,134,187(21%)","-0.72% / 2,076,114(20%)"
필룩스,033180,https://finance.naver.com/item/main.nhn?code=033180,"+4.35% / 10,366,279","+0.21% / 4,633,137(45%)","-2.23% / 1,322,521(13%)","-1.41% / 1,665,046(16%)"
신풍제약,019170,https://finance.naver.com/item/main.nhn?code=019170,"+15.69% / 10,204,518",0.00% / 0(0%),"+29.61% / 8,407,478(82%)",0.00% / 0(0%)
삼성전자,005930,https://finance.naver.com/item/main.nhn?code=005930,"+1.12% / 10,041,347","+2.03% / 18,188,588(181%)","-1.08% / 12,607,241(126%)","-1.10% / 15,910,888(158%)"
