종목명,코드,상세정보,20.05.29,20.06.01
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"+29.69% / 133,337,857","+1.20% / 113,390,581(85%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+5.91% / 83,585,424","-6.25% / 14,325,409(17%)"
팜스토리,027710,https://finance.naver.com/item/main.nhn?code=027710,"+14.78% / 56,038,521","-1.14% / 7,059,972(13%)"
쎄노텍,222420,https://finance.naver.com/item/main.nhn?code=222420,"+14.43% / 42,515,544","-9.13% / 2,234,414(5%)"
티플랙스,081150,https://finance.naver.com/item/main.nhn?code=081150,"+1.02% / 39,170,579","-9.42% / 3,985,190(10%)"
디지틀조선,033130,https://finance.naver.com/item/main.nhn?code=033130,"+14.70% / 32,538,959","-3.20% / 3,760,955(12%)"
우리손에프앤지,073560,https://finance.naver.com/item/main.nhn?code=073560,"+7.88% / 24,742,670","-3.04% / 8,084,977(33%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+0.34% / 23,346,892","0.00% / 11,920,175(51%)"
정산애강,022220,https://finance.naver.com/item/main.nhn?code=022220,"+5.56% / 22,635,084","+1.58% / 2,331,557(10%)"
모베이스전자,012860,https://finance.naver.com/item/main.nhn?code=012860,"+4.35% / 20,688,218","+2.43% / 15,211,818(74%)"
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"-3.95% / 18,850,948","-0.51% / 9,388,221(50%)"
한일단조,024740,https://finance.naver.com/item/main.nhn?code=024740,"+3.08% / 18,512,309","-2.69% / 2,357,213(13%)"
에스모,073070,https://finance.naver.com/item/main.nhn?code=073070,"-11.30% / 17,314,152","+4.56% / 6,524,564(38%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"-3.13% / 17,123,361","+2.42% / 22,943,899(134%)"
한일사료,005860,https://finance.naver.com/item/main.nhn?code=005860,"+7.77% / 15,218,609","-1.24% / 10,764,434(71%)"
한류AI센터,222810,https://finance.naver.com/item/main.nhn?code=222810,"-1.62% / 14,769,492","+0.76% / 7,328,387(50%)"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"+2.03% / 14,244,761","0.00% / 13,604,960(96%)"
에코플라스틱,038110,https://finance.naver.com/item/main.nhn?code=038110,"+14.40% / 13,489,148","+2.45% / 3,872,055(29%)"
상보,027580,https://finance.naver.com/item/main.nhn?code=027580,"-9.51% / 13,481,051","-3.36% / 5,245,459(39%)"
스페코,013810,https://finance.naver.com/item/main.nhn?code=013810,"+1.91% / 13,431,609","-3.42% / 2,178,811(16%)"
세종텔레콤,036630,https://finance.naver.com/item/main.nhn?code=036630,"+0.30% / 12,666,792","+2.42% / 5,865,878(46%)"
엘컴텍,037950,https://finance.naver.com/item/main.nhn?code=037950,"+0.46% / 12,266,825","+0.23% / 2,951,620(24%)"
예림당,036000,https://finance.naver.com/item/main.nhn?code=036000,"+19.10% / 12,011,114","+4.31% / 2,274,090(19%)"
포스코엠텍,009520,https://finance.naver.com/item/main.nhn?code=009520,"+7.05% / 11,805,696","-7.63% / 4,161,539(35%)"
서울바이오시스,092190,https://finance.naver.com/item/main.nhn?code=092190,"+12.66% / 10,562,260","+2.11% / 1,737,929(16%)"
케이씨피드,025880,https://finance.naver.com/item/main.nhn?code=025880,"+8.77% / 10,083,123","-2.07% / 870,496(9%)"
