종목명,코드,상세정보,20.05.14,20.05.15,20.05.18,20.05.19,20.05.20
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"+14.81% / 121,956,824","-0.25% / 31,334,170(26%)","-0.99% / 9,303,080(8%)","-3.26% / 6,931,812(6%)","+2.33% / 4,648,511(4%)"
휴마시스,205470,https://finance.naver.com/item/main.nhn?code=205470,"+11.46% / 65,462,024","-6.85% / 17,568,253(27%)","0.00% / 5,278,729(8%)","-12.11% / 8,995,481(14%)","+10.48% / 26,206,022(40%)"
차이나그레이트,900040,https://finance.naver.com/item/main.nhn?code=900040,"-37.21% / 43,274,182","-24.53% / 34,087,665(79%)","-27.50% / 52,539,070(121%)","+13.79% / 51,784,376(120%)","-27.27% / 43,955,832(102%)"
EDGC,245620,https://finance.naver.com/item/main.nhn?code=245620,"+10.10% / 43,164,175","-7.21% / 9,291,787(22%)","-8.04% / 4,327,485(10%)","-7.69% / 5,132,701(12%)","+3.03% / 7,091,809(16%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-2.84% / 42,466,736","-1.63% / 26,770,265(63%)","-4.01% / 21,262,672(50%)","+2.44% / 34,261,863(81%)","-0.68% / 17,456,879(41%)"
로스웰,900260,https://finance.naver.com/item/main.nhn?code=900260,"+1.09% / 28,831,506","-0.43% / 4,973,378(17%)","-3.04% / 2,160,871(7%)","+4.92% / 3,715,930(13%)","+0.64% / 3,711,962(13%)"
YBM넷,057030,https://finance.naver.com/item/main.nhn?code=057030,"+7.99% / 27,939,821","+0.22% / 13,396,159(48%)","-10.37% / 18,953,699(68%)","-2.17% / 16,098,178(58%)","+12.32% / 25,038,214(90%)"
넥스트BT,065170,https://finance.naver.com/item/main.nhn?code=065170,"+2.15% / 24,799,266","-4.78% / 5,559,999(22%)","-1.80% / 3,577,369(14%)","-4.29% / 3,421,015(14%)","-4.48% / 4,423,821(18%)"
대성엘텍,025440,https://finance.naver.com/item/main.nhn?code=025440,"-4.95% / 22,335,025","+1.33% / 3,903,052(17%)","-1.86% / 2,487,641(11%)","-3.12% / 2,662,950(12%)","+1.61% / 6,375,174(29%)"
디알텍,214680,https://finance.naver.com/item/main.nhn?code=214680,"+14.68% / 19,834,858","-6.30% / 7,101,145(36%)","-1.30% / 2,637,412(13%)","-5.26% / 3,664,501(18%)","+1.11% / 1,229,043(6%)"
삼진엘앤디,054090,https://finance.naver.com/item/main.nhn?code=054090,"+5.26% / 19,442,065","-0.38% / 3,276,882(17%)","-2.28% / 8,937,162(46%)","+29.38% / 14,488,237(75%)","-6.77% / 2,772,690(14%)"
씨젠,096530,https://finance.naver.com/item/main.nhn?code=096530,"+28.66% / 19,318,902","-9.39% / 13,263,583(69%)","-1.86% / 4,198,551(22%)","-7.92% / 4,552,331(24%)","-0.65% / 2,995,640(16%)"
뉴지랩,214870,https://finance.naver.com/item/main.nhn?code=214870,"+23.69% / 17,466,797","+9.12% / 20,861,211(119%)","-5.29% / 5,032,226(29%)","-11.18% / 4,654,279(27%)","+2.80% / 3,051,804(17%)"
랩지노믹스,084650,https://finance.naver.com/item/main.nhn?code=084650,"+20.35% / 16,802,740","-9.52% / 8,218,467(49%)","+7.06% / 5,790,430(34%)","-9.97% / 3,907,810(23%)","0.00% / 2,877,473(17%)"
메가엠디,133750,https://finance.naver.com/item/main.nhn?code=133750,"+0.11% / 15,701,705","-1.94% / 7,913,655(50%)","-5.95% / 7,223,860(46%)","+1.64% / 6,127,014(39%)","+4.27% / 10,305,501(66%)"
수젠텍,253840,https://finance.naver.com/item/main.nhn?code=253840,"+17.48% / 14,208,979","+2.88% / 6,895,822(49%)","+0.15% / 3,554,334(25%)","-12.27% / 3,047,188(21%)","+5.18% / 5,379,679(38%)"
세원,234100,https://finance.naver.com/item/main.nhn?code=234100,"+10.83% / 13,644,826","-3.62% / 2,125,729(16%)","+6.04% / 3,360,414(25%)","-1.30% / 1,466,909(11%)","+0.99% / 983,038(7%)"
라온시큐어,042510,https://finance.naver.com/item/main.nhn?code=042510,"+2.31% / 12,584,288","-2.85% / 1,923,919(15%)","+25.39% / 45,083,277(358%)","-1.23% / 45,458,501(361%)","+9.13% / 71,090,204(565%)"
한류AI센터,222810,https://finance.naver.com/item/main.nhn?code=222810,"-9.35% / 11,294,366","+0.57% / 9,408,127(83%)",0.00% / 0(0%),0.00% / 0(0%),0.00% / 0(0%)
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"+3.41% / 10,876,593","-0.50% / 8,759,105(81%)","-2.51% / 4,328,525(40%)","-2.06% / 3,142,336(29%)","+2.28% / 6,300,992(58%)"
한국알콜,017890,https://finance.naver.com/item/main.nhn?code=017890,"+7.26% / 10,803,347","-5.23% / 19,388,312(179%)","-1.54% / 2,582,101(24%)","-5.62% / 2,129,470(20%)","+1.66% / 1,570,392(15%)"
미코,059090,https://finance.naver.com/item/main.nhn?code=059090,"+3.04% / 10,328,932","-3.87% / 3,801,703(37%)","-1.20% / 1,419,035(14%)","-2.87% / 1,996,068(19%)","+1.14% / 1,346,849(13%)"
