종목명,코드,상세정보,20.07.07,20.07.08,20.07.09,20.07.10,20.07.13
크리스탈신소재,900250,https://finance.naver.com/item/main.nhn?code=900250,"+6.93% / 74,152,812","-1.13% / 6,502,038(9%)","+5.13% / 22,893,765(31%)","-3.79% / 3,968,562(5%)","+1.97% / 7,855,579(11%)"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"+29.49% / 61,156,191","-9.39% / 44,414,287(73%)","-3.15% / 9,217,866(15%)","-0.93% / 6,431,186(11%)","+2.35% / 7,940,292(13%)"
글로스퍼랩스,032860,https://finance.naver.com/item/main.nhn?code=032860,"+29.91% / 53,752,200","+2.52% / 88,380,415(164%)","+5.96% / 48,837,238(91%)","+1.99% / 3,542,872(7%)","+0.65% / 2,351,792(4%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+10.70% / 38,918,714","-1.24% / 20,047,436(52%)","+4.90% / 19,665,443(51%)","-8.40% / 9,806,929(25%)","+0.87% / 6,881,112(18%)"
SCI평가정보,036120,https://finance.naver.com/item/main.nhn?code=036120,"+29.93% / 37,248,947","-5.89% / 17,290,211(46%)","+0.95% / 7,930,528(21%)","+9.96% / 38,480,899(103%)","+0.85% / 6,812,252(18%)"
텔콘RF제약,200230,https://finance.naver.com/item/main.nhn?code=200230,"+9.40% / 33,343,909","-4.91% / 5,833,884(17%)","-1.66% / 2,474,314(7%)","0.00% / 2,444,799(7%)","+0.75% / 1,555,724(5%)"
우정바이오,215380,https://finance.naver.com/item/main.nhn?code=215380,"+6.76% / 23,252,064","-2.18% / 3,910,865(17%)","-2.33% / 1,599,704(7%)","-1.52% / 985,788(4%)","+1.43% / 1,325,737(6%)"
SM Life Design,063440,https://finance.naver.com/item/main.nhn?code=063440,"-0.23% / 19,946,800","+2.53% / 16,429,254(82%)","-3.15% / 23,285,909(117%)","-3.02% / 6,056,271(30%)","+7.66% / 14,966,714(75%)"
SG&G,040610,https://finance.naver.com/item/main.nhn?code=040610,"+11.27% / 19,592,189","0.00% / 1,483,063(8%)","-4.11% / 1,246,776(6%)","+8.58% / 19,454,187(99%)","+4.56% / 2,722,560(14%)"
대아티아이,045390,https://finance.naver.com/item/main.nhn?code=045390,"-4.28% / 16,716,785","+2.51% / 42,546,368(255%)","-5.04% / 15,416,425(92%)","-2.44% / 10,737,060(64%)","+0.44% / 6,737,134(40%)"
대한광통신,010170,https://finance.naver.com/item/main.nhn?code=010170,"+6.16% / 16,376,174","0.00% / 3,822,316(23%)","-1.77% / 2,547,380(16%)","0.00% / 7,042,625(43%)","+2.70% / 3,986,694(24%)"
디지틀조선,033130,https://finance.naver.com/item/main.nhn?code=033130,"+7.25% / 15,527,100","+1.02% / 4,578,460(29%)","-3.45% / 2,166,230(14%)","+15.97% / 31,396,825(202%)","+5.62% / 8,295,460(53%)"
쏠리드,050890,https://finance.naver.com/item/main.nhn?code=050890,"+8.67% / 15,005,860","+0.78% / 8,632,753(58%)","+0.16% / 10,569,932(70%)","+2.02% / 5,550,464(37%)","+1.67% / 2,616,032(17%)"
바이오로그디바이스,208710,https://finance.naver.com/item/main.nhn?code=208710,"+11.45% / 14,529,708","+0.54% / 1,630,431(11%)","-1.34% / 646,492(4%)","-2.18% / 498,263(3%)","+1.11% / 309,263(2%)"
에코바이오,038870,https://finance.naver.com/item/main.nhn?code=038870,"+22.73% / 13,882,627","+2.40% / 2,868,540(21%)","-1.28% / 1,813,993(13%)","-1.51% / 696,214(5%)","+3.17% / 2,114,171(15%)"
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"+0.27% / 13,329,951","-2.71% / 6,812,991(51%)","-3.62% / 8,373,568(63%)","+2.31% / 40,025,587(300%)","-1.41% / 7,608,607(57%)"
상신전자,263810,https://finance.naver.com/item/main.nhn?code=263810,"+17.35% / 12,227,388","+2.05% / 1,994,878(16%)","-1.43% / 498,200(4%)","-1.89% / 321,320(3%)","+1.78% / 204,753(2%)"
한일단조,024740,https://finance.naver.com/item/main.nhn?code=024740,"+3.03% / 11,999,208","-1.60% / 3,090,379(26%)","+1.09% / 2,820,829(24%)","-3.49% / 2,109,925(18%)","+0.84% / 1,053,956(9%)"
스페코,013810,https://finance.naver.com/item/main.nhn?code=013810,"+7.92% / 11,507,898","-2.45% / 3,937,144(34%)","+3.58% / 3,576,355(31%)","-6.23% / 1,923,042(17%)","+1.85% / 1,122,709(10%)"
삼진엘앤디,054090,https://finance.naver.com/item/main.nhn?code=054090,"0.00% / 11,253,628","+1.06% / 1,621,525(14%)","-2.80% / 1,214,737(11%)","-2.88% / 3,689,043(33%)","-0.19% / 1,112,567(10%)"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"-2.88% / 10,895,543","0.00% / 9,422,210(86%)","+0.30% / 6,902,500(63%)","-1.48% / 5,061,726(46%)","+0.60% / 5,472,170(50%)"
MP한강,219550,https://finance.naver.com/item/main.nhn?code=219550,"-0.43% / 10,265,065","-3.43% / 1,485,572(14%)","+17.78% / 7,689,128(75%)","+6.04% / 16,781,725(163%)","+17.08% / 22,902,739(223%)"
