종목명,코드,상세정보,20.06.23,20.06.24,20.06.25
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+6.13% / 121,067,426","-2.17% / 27,189,541(22%)","0.00% / 21,575,722(18%)"
스킨앤스킨,159910,https://finance.naver.com/item/main.nhn?code=159910,"-18.14% / 100,427,225","-9.09% / 19,676,050(20%)","-16.56% / 27,535,887(27%)"
삼기오토모티브,122350,https://finance.naver.com/item/main.nhn?code=122350,"+8.40% / 62,911,265","-2.99% / 2,124,655(3%)","+1.09% / 1,024,027(2%)"
이지홀딩스,035810,https://finance.naver.com/item/main.nhn?code=035810,"-12.91% / 55,777,004","-1.27% / 7,491,852(13%)","-6.04% / 4,645,159(8%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+3.15% / 43,846,818","-29.69% / 25,864,618(59%)","-13.42% / 26,067,594(59%)"
쎄노텍,222420,https://finance.naver.com/item/main.nhn?code=222420,"+10.51% / 39,829,018","-1.29% / 2,315,092(6%)","+10.68% / 35,240,098(88%)"
제이엔케이히터,126880,https://finance.naver.com/item/main.nhn?code=126880,"+13.88% / 39,154,898","-2.52% / 9,897,340(25%)","+5.17% / 7,009,614(18%)"
티플랙스,081150,https://finance.naver.com/item/main.nhn?code=081150,"+3.51% / 32,419,646","-2.42% / 2,060,454(6%)","+2.81% / 9,435,320(29%)"
이엠코리아,095190,https://finance.naver.com/item/main.nhn?code=095190,"+7.37% / 25,583,896","-1.77% / 5,070,393(20%)","+0.53% / 2,752,463(11%)"
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"-0.65% / 22,390,132","+0.65% / 7,140,682(32%)","+6.15% / 19,375,854(87%)"
스페코,013810,https://finance.naver.com/item/main.nhn?code=013810,"+0.80% / 16,797,304","-29.94% / 9,774,713(58%)","-15.48% / 9,972,225(59%)"
한일단조,024740,https://finance.naver.com/item/main.nhn?code=024740,"-3.50% / 16,739,192","-29.78% / 16,395,474(98%)","-1.15% / 5,549,659(33%)"
카이노스메드,284620,https://finance.naver.com/item/main.nhn?code=284620,"+3.99% / 16,079,168","+14.37% / 55,820,416(347%)","-2.93% / 12,846,683(80%)"
미래나노텍,095500,https://finance.naver.com/item/main.nhn?code=095500,"+1.27% / 14,368,305","+1.26% / 2,814,294(20%)","+1.09% / 10,781,356(75%)"
에스에프씨,112240,https://finance.naver.com/item/main.nhn?code=112240,"-25.24% / 14,266,366","-8.28% / 11,030,670(77%)","-9.72% / 8,722,254(61%)"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"-9.91% / 13,918,401","-0.40% / 7,721,086(55%)","-2.41% / 3,918,229(28%)"
이디티,215090,https://finance.naver.com/item/main.nhn?code=215090,"-15.11% / 13,291,851","-23.95% / 9,241,452(70%)","+1.70% / 2,960,285(22%)"
코다코,046070,https://finance.naver.com/item/main.nhn?code=046070,"+2.67% / 13,030,622","-5.19% / 1,945,853(15%)","-5.14% / 914,689(7%)"
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"+4.88% / 12,630,316","-3.32% / 2,827,727(22%)","-1.89% / 2,415,877(19%)"
알로이스,297570,https://finance.naver.com/item/main.nhn?code=297570,"+12.97% / 12,180,093","-2.43% / 1,272,543(10%)","-1.58% / 866,212(7%)"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"+1.66% / 11,509,779","+1.63% / 2,933,693(25%)","-1.60% / 10,585,790(92%)"
판타지오,032800,https://finance.naver.com/item/main.nhn?code=032800,"+0.77% / 10,583,087","+11.17% / 19,344,311(183%)","-9.56% / 9,384,087(89%)"
신성델타테크,065350,https://finance.naver.com/item/main.nhn?code=065350,"+21.58% / 10,405,048","-1.37% / 4,812,141(46%)","+0.13% / 1,359,210(13%)"
삼진엘앤디,054090,https://finance.naver.com/item/main.nhn?code=054090,"+6.90% / 10,147,454","+1.61% / 1,705,258(17%)","-3.00% / 800,193(8%)"
