종목명,코드,상세정보,20.07.02
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"+21.71% / 174,071,924"
SBI인베스트먼트,019550,https://finance.naver.com/item/main.nhn?code=019550,"+29.93% / 73,143,688"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"+2.24% / 25,743,319"
지니뮤직,043610,https://finance.naver.com/item/main.nhn?code=043610,"+15.25% / 25,334,555"
세원,234100,https://finance.naver.com/item/main.nhn?code=234100,"+26.57% / 22,878,002"
SM Life Design,063440,https://finance.naver.com/item/main.nhn?code=063440,"+7.37% / 15,007,371"
코리아나,027050,https://finance.naver.com/item/main.nhn?code=027050,"+4.28% / 14,227,087"
소리바다,053110,https://finance.naver.com/item/main.nhn?code=053110,"+4.01% / 12,317,522"
지엔원에너지,270520,https://finance.naver.com/item/main.nhn?code=270520,"+10.37% / 12,137,232"
대아티아이,045390,https://finance.naver.com/item/main.nhn?code=045390,"-0.31% / 12,075,737"
이글벳,044960,https://finance.naver.com/item/main.nhn?code=044960,"+6.41% / 12,008,115"
휴마시스,205470,https://finance.naver.com/item/main.nhn?code=205470,"+2.28% / 11,871,306"
웹젠,069080,https://finance.naver.com/item/main.nhn?code=069080,"+15.70% / 11,669,636"
모베이스전자,012860,https://finance.naver.com/item/main.nhn?code=012860,"+1.22% / 11,270,230"
카이노스메드,284620,https://finance.naver.com/item/main.nhn?code=284620,"-3.08% / 10,652,573"
