종목명,코드,상세정보,20.06.19,20.06.22,20.06.23
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"0.00% / 90,208,755","-4.72% / 57,449,286(64%)","+3.15% / 43,846,818(49%)"
SV인베스트먼트,289080,https://finance.naver.com/item/main.nhn?code=289080,"+12.89% / 79,129,093","-1.51% / 12,489,665(16%)","-4.71% / 6,242,935(8%)"
아난티,025980,https://finance.naver.com/item/main.nhn?code=025980,"+11.31% / 68,083,120","-0.86% / 18,856,260(28%)","-4.85% / 6,437,392(9%)"
한일단조,024740,https://finance.naver.com/item/main.nhn?code=024740,"-8.06% / 57,329,175","-7.87% / 26,045,550(45%)","-3.50% / 16,739,192(29%)"
대아티아이,045390,https://finance.naver.com/item/main.nhn?code=045390,"+7.62% / 57,074,853","-3.99% / 9,225,615(16%)","-5.29% / 5,251,527(9%)"
이디티,215090,https://finance.naver.com/item/main.nhn?code=215090,"+29.77% / 49,163,550","-9.23% / 30,623,325(62%)","-15.11% / 13,291,851(27%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"+3.96% / 41,029,068","-1.77% / 10,245,403(25%)","-3.74% / 9,728,524(24%)"
스페코,013810,https://finance.naver.com/item/main.nhn?code=013810,"-4.70% / 38,684,324","-7.87% / 22,332,469(58%)","+0.80% / 16,797,304(43%)"
제넨바이오,072520,https://finance.naver.com/item/main.nhn?code=072520,"+3.77% / 30,127,522","+1.36% / 8,719,878(29%)","-2.24% / 4,838,951(16%)"
시큐브,131090,https://finance.naver.com/item/main.nhn?code=131090,"+5.32% / 26,253,189","-4.29% / 3,603,164(14%)","+0.79% / 2,503,508(10%)"
코데즈컴바인,047770,https://finance.naver.com/item/main.nhn?code=047770,"+29.98% / 24,852,724","-8.07% / 9,191,557(37%)","-5.73% / 4,352,922(18%)"
에스에프씨,112240,https://finance.naver.com/item/main.nhn?code=112240,"-81.60% / 24,341,230","-37.13% / 13,849,794(57%)","-25.24% / 14,266,366(59%)"
포메탈,119500,https://finance.naver.com/item/main.nhn?code=119500,"-21.37% / 24,056,073","-11.74% / 6,610,934(27%)","-3.29% / 3,142,478(13%)"
신라섬유,001000,https://finance.naver.com/item/main.nhn?code=001000,"+19.11% / 20,148,737","-11.09% / 4,143,812(21%)","+3.07% / 3,764,721(19%)"
코센,009730,https://finance.naver.com/item/main.nhn?code=009730,"+2.12% / 17,045,047","+1.38% / 4,549,470(27%)","-1.02% / 4,943,330(29%)"
미코,059090,https://finance.naver.com/item/main.nhn?code=059090,"+12.25% / 16,903,507","+5.62% / 21,179,284(125%)","-0.21% / 8,165,219(48%)"
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"-6.12% / 15,831,207","-3.11% / 4,722,125(30%)","-1.60% / 4,802,119(30%)"
현대바이오,048410,https://finance.naver.com/item/main.nhn?code=048410,"+4.48% / 14,690,193","-1.07% / 2,020,541(14%)","-5.42% / 2,732,736(19%)"
삼기오토모티브,122350,https://finance.naver.com/item/main.nhn?code=122350,"+2.20% / 14,053,262","+2.34% / 4,602,624(33%)","+8.40% / 62,911,265(448%)"
알서포트,131370,https://finance.naver.com/item/main.nhn?code=131370,"-10.25% / 13,758,005","-2.92% / 7,640,741(56%)","+0.68% / 5,594,421(41%)"
신일제약,012790,https://finance.naver.com/item/main.nhn?code=012790,"0.00% / 12,526,008","-4.01% / 2,244,656(18%)","-9.13% / 1,888,785(15%)"
이화전기,024810,https://finance.naver.com/item/main.nhn?code=024810,"+1.85% / 12,150,230","-2.42% / 5,029,192(41%)","-1.86% / 7,551,741(62%)"
엘비세미콘,061970,https://finance.naver.com/item/main.nhn?code=061970,"+5.38% / 11,708,344","-2.85% / 2,083,994(18%)","+1.47% / 2,925,634(25%)"
휴마시스,205470,https://finance.naver.com/item/main.nhn?code=205470,"+29.91% / 11,114,692","+29.93% / 3,478,543(31%)",0.00% / 0(0%)
