종목명,코드,상세정보,20.06.26,20.06.29,20.06.30,20.07.01,20.07.02
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"+14.20% / 102,402,971","-5.80% / 14,333,301(14%)","-3.52% / 6,817,846(7%)","-3.04% / 7,017,335(7%)","+1.88% / 2,108,614(2%)"
동국S&C,100130,https://finance.naver.com/item/main.nhn?code=100130,"+29.83% / 69,359,735","-4.33% / 39,796,209(57%)","+6.30% / 13,369,978(19%)","-7.41% / 6,589,160(9%)","+0.80% / 5,564,572(8%)"
휴마시스,205470,https://finance.naver.com/item/main.nhn?code=205470,"-3.70% / 64,479,504","+3.85% / 14,227,996(22%)","-12.31% / 15,150,937(23%)","-12.04% / 13,550,818(21%)","+2.28% / 11,871,537(18%)"
쎄노텍,222420,https://finance.naver.com/item/main.nhn?code=222420,"+17.65% / 57,005,402","+13.80% / 51,241,830(90%)","-5.10% / 22,430,193(39%)","+0.19% / 4,763,042(8%)","-4.99% / 2,989,717(5%)"
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"-6.71% / 43,501,574","-4.90% / 11,105,118(26%)","-2.75% / 6,582,447(15%)","+7.42% / 52,452,416(121%)","+21.71% / 174,074,693(400%)"
나노엔텍,039860,https://finance.naver.com/item/main.nhn?code=039860,"+2.60% / 35,541,810","+4.22% / 13,223,182(37%)","-10.53% / 1,919,293(5%)","+16.74% / 2,749,479(8%)","-6.20% / 1,670,418(5%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+1.15% / 33,842,164","-10.78% / 6,954,815(21%)","-2.86% / 6,613,565(20%)","+1.47% / 20,190,616(60%)","+1.77% / 7,138,305(21%)"
티플랙스,081150,https://finance.naver.com/item/main.nhn?code=081150,"+10.93% / 29,026,244","+13.04% / 33,004,208(114%)","+7.69% / 58,479,067(201%)","-6.19% / 12,621,189(43%)","-3.17% / 9,530,294(33%)"
에이스테크,088800,https://finance.naver.com/item/main.nhn?code=088800,"+25.23% / 28,729,836","+3.30% / 15,504,355(54%)","+1.42% / 17,121,386(60%)","-6.29% / 1,322,872(5%)","+9.70% / 1,818,106(6%)"
케이알피앤이,060900,https://finance.naver.com/item/main.nhn?code=060900,"-0.83% / 27,664,400","-2.92% / 4,891,971(18%)","+2.58% / 4,845,614(18%)","-3.77% / 5,051,932(18%)","-1.30% / 6,057,029(22%)"
지엔원에너지,270520,https://finance.naver.com/item/main.nhn?code=270520,"+7.88% / 24,892,409","+3.27% / 2,365,897(10%)","+24.63% / 19,408,427(78%)","-3.72% / 3,648,452(15%)","+10.37% / 12,137,232(49%)"
에이프로젠 H&G,109960,https://finance.naver.com/item/main.nhn?code=109960,"-7.41% / 20,345,893","+0.50% / 10,822,923(53%)","-3.58% / 3,323,930(16%)","-3.41% / 3,296,401(16%)","+1.82% / 1,594,051(8%)"
동국산업,005160,https://finance.naver.com/item/main.nhn?code=005160,"+9.53% / 17,494,146","-3.70% / 1,704,814(10%)","-2.31% / 951,938(5%)","-1.77% / 860,345(5%)","+0.60% / 251,070(1%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+1.11% / 16,986,976","+0.73% / 15,624,656(92%)","-1.09% / 10,041,689(59%)","-3.30% / 6,072,906(36%)","+1.14% / 4,480,134(26%)"
대아티아이,045390,https://finance.naver.com/item/main.nhn?code=045390,"-6.03% / 16,286,131","+0.33% / 6,819,423(42%)","+0.33% / 12,360,199(76%)","+5.72% / 20,879,107(128%)","-0.31% / 12,075,737(74%)"
스킨앤스킨,159910,https://finance.naver.com/item/main.nhn?code=159910,"-3.00% / 15,418,666","+15.06% / 33,972,451(220%)","+8.39% / 37,641,690(244%)","-8.67% / 7,566,383(49%)","+1.69% / 5,700,271(37%)"
