종목명,코드,상세정보,20.06.24
대아티아이,045390,https://finance.naver.com/item/main.nhn?code=045390,"+29.94% / 63,098,711"
카이노스메드,284620,https://finance.naver.com/item/main.nhn?code=284620,"+14.37% / 55,820,416"
아난티,025980,https://finance.naver.com/item/main.nhn?code=025980,"+18.48% / 46,340,460"
라이브플렉스,050120,https://finance.naver.com/item/main.nhn?code=050120,"+13.60% / 42,131,100"
코센,009730,https://finance.naver.com/item/main.nhn?code=009730,"+5.86% / 34,950,360"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-2.17% / 27,189,541"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"-29.69% / 25,864,618"
스킨앤스킨,159910,https://finance.naver.com/item/main.nhn?code=159910,"-9.09% / 19,676,050"
판타지오,032800,https://finance.naver.com/item/main.nhn?code=032800,"+11.17% / 19,344,311"
한일단조,024740,https://finance.naver.com/item/main.nhn?code=024740,"-29.78% / 16,395,474"
자안,221610,https://finance.naver.com/item/main.nhn?code=221610,"+8.70% / 14,965,227"
동진쎄미켐,005290,https://finance.naver.com/item/main.nhn?code=005290,"+14.01% / 13,691,863"
레이크머티리얼즈,281740,https://finance.naver.com/item/main.nhn?code=281740,"+5.33% / 13,415,023"
iMBC,052220,https://finance.naver.com/item/main.nhn?code=052220,"+1.48% / 13,150,831"
넥슨지티,041140,https://finance.naver.com/item/main.nhn?code=041140,"+0.46% / 12,926,247"
씨유메디칼,115480,https://finance.naver.com/item/main.nhn?code=115480,"+8.19% / 11,970,557"
MP한강,219550,https://finance.naver.com/item/main.nhn?code=219550,"+5.77% / 11,508,064"
우리기술투자,041190,https://finance.naver.com/item/main.nhn?code=041190,"+3.78% / 11,083,111"
에스에프씨,112240,https://finance.naver.com/item/main.nhn?code=112240,"-8.28% / 11,030,670"
로보로보,215100,https://finance.naver.com/item/main.nhn?code=215100,"-2.27% / 10,994,946"
랩지노믹스,084650,https://finance.naver.com/item/main.nhn?code=084650,"+29.92% / 10,572,131"
슈펙스비앤피,058530,https://finance.naver.com/item/main.nhn?code=058530,"+4.12% / 10,014,067"
