종목명,코드,상세정보,20.06.29,20.06.30,20.07.01,20.07.02
크리스탈신소재,900250,https://finance.naver.com/item/main.nhn?code=900250,"+29.78% / 91,314,220","-1.70% / 53,934,397(59%)","-0.29% / 10,122,998(11%)","-2.02% / 6,554,466(7%)"
쎄노텍,222420,https://finance.naver.com/item/main.nhn?code=222420,"+13.80% / 51,241,830","-5.10% / 22,430,193(44%)","+0.19% / 4,763,042(9%)","-4.99% / 2,989,717(6%)"
동국S&C,100130,https://finance.naver.com/item/main.nhn?code=100130,"-4.33% / 39,796,209","+6.30% / 13,369,978(34%)","-7.41% / 6,589,160(17%)","+0.80% / 5,564,572(14%)"
모바일어플라이언스,087260,https://finance.naver.com/item/main.nhn?code=087260,"+0.68% / 37,405,173","-1.74% / 4,885,109(13%)","-2.46% / 7,220,812(19%)","+7.84% / 4,181,098(11%)"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"+4.14% / 36,413,909","+9.93% / 132,698,676(364%)","-5.72% / 16,352,962(45%)","+2.24% / 25,743,319(71%)"
SCI평가정보,036120,https://finance.naver.com/item/main.nhn?code=036120,"+29.92% / 34,915,806","-10.03% / 49,044,408(140%)","-5.80% / 8,493,425(24%)","+0.24% / 3,239,667(9%)"
스킨앤스킨,159910,https://finance.naver.com/item/main.nhn?code=159910,"+15.06% / 33,972,451","+8.39% / 37,641,690(111%)","-8.67% / 7,566,383(22%)","+1.69% / 5,700,271(17%)"
티플랙스,081150,https://finance.naver.com/item/main.nhn?code=081150,"+13.04% / 33,004,208","+7.69% / 58,479,067(177%)","-6.19% / 12,621,189(38%)","-3.17% / 9,530,294(29%)"
제이엔케이히터,126880,https://finance.naver.com/item/main.nhn?code=126880,"+12.43% / 32,424,651","+0.96% / 6,614,886(20%)","-3.57% / 6,368,694(20%)","+1.60% / 2,997,033(9%)"
모비스,250060,https://finance.naver.com/item/main.nhn?code=250060,"+6.33% / 32,046,924","-4.96% / 3,627,351(11%)","+1.88% / 4,857,177(15%)","+3.07% / 1,674,940(5%)"
이엠코리아,095190,https://finance.naver.com/item/main.nhn?code=095190,"+7.95% / 18,508,008","-0.18% / 4,429,275(24%)","-3.32% / 4,886,722(26%)","-1.72% / 2,850,986(15%)"
인터파크홀딩스,035080,https://finance.naver.com/item/main.nhn?code=035080,"+15.26% / 17,203,350","-6.52% / 2,910,963(17%)","-0.87% / 1,781,718(10%)","+2.20% / 1,023,166(6%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"+2.89% / 17,032,813","-2.95% / 6,235,397(37%)","-0.29% / 4,797,727(28%)","+0.29% / 4,601,441(27%)"
씨에스베어링,297090,https://finance.naver.com/item/main.nhn?code=297090,"+9.58% / 16,946,371","0.00% / 5,629,813(33%)","-5.24% / 4,740,359(28%)","+6.64% / 3,443,288(20%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+0.73% / 15,624,656","-1.09% / 10,041,689(64%)","-3.30% / 6,072,906(39%)","+1.14% / 4,477,134(29%)"
에이스테크,088800,https://finance.naver.com/item/main.nhn?code=088800,"+3.30% / 15,504,355","+1.42% / 17,121,386(110%)","-6.29% / 1,322,872(9%)","+9.70% / 1,818,106(12%)"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"-5.80% / 14,333,301","-3.52% / 6,817,846(48%)","-3.04% / 7,017,335(49%)","+1.88% / 2,108,614(15%)"
휴마시스,205470,https://finance.naver.com/item/main.nhn?code=205470,"+3.85% / 14,227,996","-12.31% / 15,150,937(106%)","-12.04% / 13,550,818(95%)","+2.28% / 11,871,537(83%)"
우리기술투자,041190,https://finance.naver.com/item/main.nhn?code=041190,"-0.55% / 13,814,676","+1.28% / 3,042,555(22%)","-1.62% / 1,073,776(8%)","+0.92% / 599,845(4%)"
YBM넷,057030,https://finance.naver.com/item/main.nhn?code=057030,"+3.42% / 13,375,779","-3.18% / 1,372,221(10%)","+12.72% / 14,270,552(107%)","+2.91% / 7,054,467(53%)"
나노엔텍,039860,https://finance.naver.com/item/main.nhn?code=039860,"+4.22% / 13,223,182","-10.53% / 1,919,293(15%)","+16.74% / 2,749,479(21%)","-6.20% / 1,670,418(13%)"
코센,009730,https://finance.naver.com/item/main.nhn?code=009730,"+1.37% / 13,095,829","-5.07% / 7,468,427(57%)","-0.36% / 3,056,651(23%)","+0.71% / 2,401,616(18%)"
쏠리드,050890,https://finance.naver.com/item/main.nhn?code=050890,"+9.11% / 11,428,152","-0.85% / 10,690,948(94%)","-2.58% / 3,509,945(31%)","+5.29% / 4,790,413(42%)"
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"-4.90% / 11,105,118","-2.75% / 6,582,447(59%)","+7.42% / 52,452,416(472%)","+21.71% / 174,074,693(1568%)"
뉴보텍,060260,https://finance.naver.com/item/main.nhn?code=060260,"+2.33% / 10,913,411","+1.90% / 1,975,904(18%)","-4.85% / 878,660(8%)","+5.10% / 759,293(7%)"
에이프로젠 H&G,109960,https://finance.naver.com/item/main.nhn?code=109960,"+0.50% / 10,822,923","-3.58% / 3,323,930(31%)","-3.41% / 3,296,401(30%)","+1.82% / 1,594,051(15%)"
소리바다,053110,https://finance.naver.com/item/main.nhn?code=053110,"+3.91% / 10,554,642","-1.88% / 5,107,193(48%)","+0.58% / 1,087,172(10%)","+4.01% / 12,317,522(117%)"
