종목명,코드,상세정보,20.05.20,20.05.21,20.05.22,20.05.25,20.05.26
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"+8.97% / 419,187,210","+0.12% / 126,141,499(30%)","+1.84% / 80,274,723(19%)","+3.50% / 65,797,871(16%)","-3.61% / 32,717,853(8%)"
자안,221610,https://finance.naver.com/item/main.nhn?code=221610,"+0.54% / 92,854,175","-3.06% / 24,000,968(26%)","-5.46% / 18,849,400(20%)","+3.66% / 89,127,630(96%)","-2.60% / 14,911,406(16%)"
라온시큐어,042510,https://finance.naver.com/item/main.nhn?code=042510,"+9.13% / 71,033,349","-6.19% / 25,217,208(36%)","-0.61% / 6,091,181(9%)","+10.51% / 45,885,579(65%)","-2.57% / 18,550,040(26%)"
한국전자인증,041460,https://finance.naver.com/item/main.nhn?code=041460,"+29.02% / 50,043,174","-9.50% / 3,117,091(6%)","+2.51% / 1,466,079(3%)","+14.29% / 2,723,590(5%)","+0.76% / 30,105,495(60%)"
피델릭스,032580,https://finance.naver.com/item/main.nhn?code=032580,"+8.48% / 47,477,429","-1.12% / 3,959,495(8%)","+2.80% / 15,977,999(34%)","+5.18% / 4,354,708(9%)","-1.30% / 2,445,624(5%)"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"-7.77% / 45,353,026","-0.84% / 8,691,987(19%)","-3.41% / 9,098,036(20%)","+2.65% / 9,888,258(22%)","+0.29% / 15,869,950(35%)"
뉴보텍,060260,https://finance.naver.com/item/main.nhn?code=060260,"+9.47% / 42,883,271","+1.73% / 8,281,197(19%)","-4.76% / 2,339,023(5%)","-1.07% / 14,272,703(33%)","+2.53% / 1,984,399(5%)"
휴마시스,205470,https://finance.naver.com/item/main.nhn?code=205470,"+10.48% / 26,202,050","-1.08% / 7,690,827(29%)","+0.14% / 5,864,843(22%)","+3.72% / 9,081,085(35%)","-0.93% / 2,905,758(11%)"
자연과환경,043910,https://finance.naver.com/item/main.nhn?code=043910,"+0.29% / 25,096,729","+0.29% / 4,949,348(20%)","-1.47% / 2,471,625(10%)","+1.80% / 2,555,972(10%)","+1.47% / 3,674,289(15%)"
YBM넷,057030,https://finance.naver.com/item/main.nhn?code=057030,"+12.32% / 24,988,839","-3.29% / 9,409,720(38%)","-2.93% / 4,657,922(19%)","-2.67% / 2,269,522(9%)","+9.56% / 10,388,559(42%)"
세종텔레콤,036630,https://finance.naver.com/item/main.nhn?code=036630,"+3.09% / 23,405,718","0.00% / 7,817,170(33%)","-3.58% / 5,660,866(24%)","+1.24% / 3,314,983(14%)","-0.31% / 3,247,299(14%)"
오성첨단소재,052420,https://finance.naver.com/item/main.nhn?code=052420,"+1.21% / 20,608,876","+1.00% / 2,990,678(15%)","-2.77% / 2,921,398(14%)","+7.11% / 7,026,386(34%)","-0.76% / 26,084,733(127%)"
제넨바이오,072520,https://finance.naver.com/item/main.nhn?code=072520,"+9.12% / 20,064,018","+2.70% / 13,412,969(67%)","0.00% / 5,067,084(25%)","+0.26% / 2,360,109(12%)","+0.52% / 3,460,283(17%)"
