종목명,코드,상세정보,20.05.26,20.05.27
시큐브,131090,https://finance.naver.com/item/main.nhn?code=131090,"+19.84% / 86,538,785","+0.45% / 10,897,053(13%)"
메이슨캐피탈,021880,https://finance.naver.com/item/main.nhn?code=021880,"-4.53% / 66,498,590","-1.00% / 13,185,888(20%)"
한국정보인증,053300,https://finance.naver.com/item/main.nhn?code=053300,"+6.42% / 44,713,382","-3.41% / 4,073,451(9%)"
한류AI센터,222810,https://finance.naver.com/item/main.nhn?code=222810,"+19.49% / 42,507,208","-5.12% / 11,520,646(27%)"
대한광통신,010170,https://finance.naver.com/item/main.nhn?code=010170,"+1.65% / 40,425,722","+3.49% / 36,598,675(91%)"
아이크래프트,052460,https://finance.naver.com/item/main.nhn?code=052460,"+9.76% / 33,452,389","+1.07% / 3,074,660(9%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"-3.61% / 32,717,853","-2.30% / 30,033,468(92%)"
한국전자인증,041460,https://finance.naver.com/item/main.nhn?code=041460,"+0.76% / 30,105,495","-2.88% / 3,310,353(11%)"
오성첨단소재,052420,https://finance.naver.com/item/main.nhn?code=052420,"-0.76% / 26,084,733","-1.72% / 4,773,817(18%)"
좋은사람들,033340,https://finance.naver.com/item/main.nhn?code=033340,"+4.67% / 23,394,052","+0.85% / 4,646,373(20%)"
아난티,025980,https://finance.naver.com/item/main.nhn?code=025980,"+4.95% / 20,568,359","+0.47% / 5,547,060(27%)"
크루셜텍,114120,https://finance.naver.com/item/main.nhn?code=114120,"-6.40% / 20,410,348","-1.55% / 2,980,637(15%)"
고려제약,014570,https://finance.naver.com/item/main.nhn?code=014570,"+29.86% / 19,476,833","+2.55% / 20,824,880(107%)"
라온시큐어,042510,https://finance.naver.com/item/main.nhn?code=042510,"-2.57% / 18,550,040","-0.34% / 4,761,333(26%)"
서울반도체,046890,https://finance.naver.com/item/main.nhn?code=046890,"+17.69% / 16,816,063","-5.23% / 3,824,421(23%)"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"+0.29% / 15,869,950","+1.43% / 23,587,245(149%)"
엠에스오토텍,123040,https://finance.naver.com/item/main.nhn?code=123040,"+14.59% / 15,398,134","+1.57% / 5,544,062(36%)"
자안,221610,https://finance.naver.com/item/main.nhn?code=221610,"-2.60% / 14,911,406","-0.38% / 8,530,218(57%)"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"+9.30% / 14,863,588","+29.79% / 6,473,834(44%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-2.36% / 14,011,610","+3.81% / 30,851,566(220%)"
코센,009730,https://finance.naver.com/item/main.nhn?code=009730,"+2.95% / 12,897,802","-3.09% / 3,970,562(31%)"
이화전기,024810,https://finance.naver.com/item/main.nhn?code=024810,"+2.35% / 11,980,850","-0.57% / 4,993,498(42%)"
로보로보,215100,https://finance.naver.com/item/main.nhn?code=215100,"+1.80% / 11,573,423","-0.32% / 17,505,229(151%)"
YBM넷,057030,https://finance.naver.com/item/main.nhn?code=057030,"+9.56% / 10,388,559","+2.18% / 22,841,706(220%)"
