종목명,코드,상세정보,20.05.22,20.05.25
조아제약,034940,https://finance.naver.com/item/main.nhn?code=034940,"+6.98% / 89,697,385","+0.18% / 1,736,053(2%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"+1.84% / 80,274,723","+3.50% / 46,368,317(58%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+4.21% / 67,641,573","0.00% / 11,449,665(17%)"
옴니시스템,057540,https://finance.naver.com/item/main.nhn?code=057540,"+0.23% / 63,543,280","+3.90% / 5,921,134(9%)"
로보로보,215100,https://finance.naver.com/item/main.nhn?code=215100,"+7.78% / 46,807,637","+2.01% / 7,998,582(17%)"
티플랙스,081150,https://finance.naver.com/item/main.nhn?code=081150,"+10.69% / 44,242,622","+2.76% / 7,151,510(16%)"
케이씨티,089150,https://finance.naver.com/item/main.nhn?code=089150,"+7.75% / 32,667,065","+1.05% / 467,375(1%)"
전파기지국,065530,https://finance.naver.com/item/main.nhn?code=065530,"-5.83% / 32,141,151","+4.60% / 22,156,959(69%)"
넥스트BT,065170,https://finance.naver.com/item/main.nhn?code=065170,"+3.84% / 27,134,332","-2.61% / 1,367,677(5%)"
한네트,052600,https://finance.naver.com/item/main.nhn?code=052600,"+0.65% / 20,962,048","+3.25% / 1,082,783(5%)"
동국S&C,100130,https://finance.naver.com/item/main.nhn?code=100130,"-2.38% / 19,504,565","+1.63% / 2,203,176(11%)"
자안,221610,https://finance.naver.com/item/main.nhn?code=221610,"-5.46% / 18,849,400","+11.56% / 43,819,124(232%)"
에스모,073070,https://finance.naver.com/item/main.nhn?code=073070,"-1.67% / 18,374,475","-0.34% / 1,665,947(9%)"
글로벌에스엠,900070,https://finance.naver.com/item/main.nhn?code=900070,"-5.18% / 17,987,030","-4.80% / 1,881,917(10%)"
러셀,217500,https://finance.naver.com/item/main.nhn?code=217500,"+7.01% / 16,695,597","+7.28% / 3,199,410(19%)"
피델릭스,032580,https://finance.naver.com/item/main.nhn?code=032580,"+2.80% / 15,977,999","+1.91% / 1,661,378(10%)"
엘컴텍,037950,https://finance.naver.com/item/main.nhn?code=037950,"+4.52% / 15,585,111","-2.73% / 2,864,814(18%)"
메이슨캐피탈,021880,https://finance.naver.com/item/main.nhn?code=021880,"-2.42% / 15,213,283","+18.27% / 47,155,336(310%)"
휴림로봇,090710,https://finance.naver.com/item/main.nhn?code=090710,"-4.02% / 14,663,903","-1.81% / 1,595,172(11%)"
미래생명자원,218150,https://finance.naver.com/item/main.nhn?code=218150,"+18.25% / 14,082,266","+3.89% / 6,384,260(45%)"
모트렉스,118990,https://finance.naver.com/item/main.nhn?code=118990,"-3.41% / 13,875,519","-1.05% / 1,251,192(9%)"
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"-4.83% / 13,789,455","+3.52% / 5,882,455(43%)"
대한광통신,010170,https://finance.naver.com/item/main.nhn?code=010170,"-3.92% / 12,702,744","+13.64% / 46,478,039(366%)"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"-8.15% / 11,625,647","+4.03% / 3,908,361(34%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+2.66% / 11,491,524","+0.54% / 4,773,312(42%)"
스맥,099440,https://finance.naver.com/item/main.nhn?code=099440,"-3.13% / 11,169,391","+4.73% / 1,419,523(13%)"
케이씨에스,115500,https://finance.naver.com/item/main.nhn?code=115500,"-4.76% / 11,013,333","+0.20% / 279,241(3%)"
드림씨아이에스,223250,https://finance.naver.com/item/main.nhn?code=223250,"+8.93% / 10,349,433","+6.89% / 2,054,152(20%)"
패션플랫폼,225590,https://finance.naver.com/item/main.nhn?code=225590,"+7.34% / 10,110,409","+1.28% / 468,805(5%)"
