종목명,코드,상세정보,20.07.14
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"+25.19% / 118,997,921"
오리엔트정공,065500,https://finance.naver.com/item/main.nhn?code=065500,"+19.73% / 67,083,957"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+0.35% / 58,408,942"
유비케어,032620,https://finance.naver.com/item/main.nhn?code=032620,"+6.61% / 50,944,290"
슈펙스비앤피,058530,https://finance.naver.com/item/main.nhn?code=058530,"+6.41% / 33,763,987"
코센,009730,https://finance.naver.com/item/main.nhn?code=009730,"+11.81% / 32,564,063"
쏠리드,050890,https://finance.naver.com/item/main.nhn?code=050890,"+7.62% / 31,603,950"
엑셈,205100,https://finance.naver.com/item/main.nhn?code=205100,"+10.15% / 28,009,694"
필로시스헬스케어,057880,https://finance.naver.com/item/main.nhn?code=057880,"+29.93% / 23,822,833"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"-8.51% / 22,655,966"
라이브플렉스,050120,https://finance.naver.com/item/main.nhn?code=050120,"-13.51% / 21,350,599"
비트컴퓨터,032850,https://finance.naver.com/item/main.nhn?code=032850,"-7.27% / 20,789,771"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"+3.88% / 18,552,930"
휴마시스,205470,https://finance.naver.com/item/main.nhn?code=205470,"-2.89% / 16,176,688"
동국S&C,100130,https://finance.naver.com/item/main.nhn?code=100130,"-9.77% / 15,890,682"
모바일어플라이언스,087260,https://finance.naver.com/item/main.nhn?code=087260,"-0.50% / 13,815,877"
바이넥스,053030,https://finance.naver.com/item/main.nhn?code=053030,"+5.48% / 13,376,503"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+1.59% / 13,189,801"
신일제약,012790,https://finance.naver.com/item/main.nhn?code=012790,"+23.24% / 13,011,743"
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"0.00% / 12,147,654"
쎄노텍,222420,https://finance.naver.com/item/main.nhn?code=222420,"+1.17% / 11,895,148"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"+2.53% / 10,246,434"
비디아이,148140,https://finance.naver.com/item/main.nhn?code=148140,"+29.97% / 10,243,317"
