종목명,코드,상세정보,20.06.08,20.06.09
라이브플렉스,050120,https://finance.naver.com/item/main.nhn?code=050120,"+23.94% / 74,774,052","-4.72% / 20,023,449(27%)"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"+29.91% / 56,659,562","+4.88% / 69,107,009(122%)"
대창솔루션,096350,https://finance.naver.com/item/main.nhn?code=096350,"-5.39% / 47,402,499","-2.63% / 20,883,377(44%)"
씨유메디칼,115480,https://finance.naver.com/item/main.nhn?code=115480,"+25.09% / 38,296,315","-1.80% / 8,447,830(22%)"
이지홀딩스,035810,https://finance.naver.com/item/main.nhn?code=035810,"+29.89% / 35,507,393","+1.39% / 64,362,641(181%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+6.56% / 33,895,094","+18.93% / 52,737,659(156%)"
조아제약,034940,https://finance.naver.com/item/main.nhn?code=034940,"-1.66% / 32,641,054","-0.68% / 12,545,065(38%)"
넥스트BT,065170,https://finance.naver.com/item/main.nhn?code=065170,"+6.76% / 22,834,244","-3.71% / 3,551,534(16%)"
한국비엔씨,256840,https://finance.naver.com/item/main.nhn?code=256840,"+16.74% / 21,475,938","+2.08% / 6,362,143(30%)"
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"+6.79% / 19,661,517","-0.64% / 13,028,888(66%)"
국일제지,078130,https://finance.naver.com/item/main.nhn?code=078130,"+4.43% / 16,865,700","-2.83% / 8,805,192(52%)"
서울바이오시스,092190,https://finance.naver.com/item/main.nhn?code=092190,"+12.36% / 15,666,238","-10.50% / 3,392,180(22%)"
엘컴텍,037950,https://finance.naver.com/item/main.nhn?code=037950,"-4.64% / 14,906,379","+0.24% / 4,577,716(31%)"
카이노스메드,284620,https://finance.naver.com/item/main.nhn?code=284620,"-15.47% / 14,082,528","+5.23% / 9,274,243(66%)"
일신바이오,068330,https://finance.naver.com/item/main.nhn?code=068330,"+7.82% / 11,914,801","-3.73% / 4,402,135(37%)"
라이브파이낸셜,036170,https://finance.naver.com/item/main.nhn?code=036170,"+5.71% / 10,638,592","-1.70% / 931,485(9%)"
텔콘RF제약,200230,https://finance.naver.com/item/main.nhn?code=200230,"+3.99% / 10,463,448","-0.79% / 2,885,691(28%)"
신테카바이오,226330,https://finance.naver.com/item/main.nhn?code=226330,"+2.65% / 10,255,616","+1.85% / 1,798,820(18%)"
이화전기,024810,https://finance.naver.com/item/main.nhn?code=024810,"+1.15% / 10,222,338","+1.70% / 14,331,214(140%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"+0.29% / 10,181,647","-1.17% / 9,653,456(95%)"
