종목명,코드,상세정보,20.06.15
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+30.00% / 68,923,586"
알서포트,131370,https://finance.naver.com/item/main.nhn?code=131370,"+14.60% / 49,762,838"
한일단조,024740,https://finance.naver.com/item/main.nhn?code=024740,"+19.81% / 46,634,283"
젬백스링크,064800,https://finance.naver.com/item/main.nhn?code=064800,"-6.83% / 31,817,820"
스페코,013810,https://finance.naver.com/item/main.nhn?code=013810,"+29.85% / 24,092,403"
라이브플렉스,050120,https://finance.naver.com/item/main.nhn?code=050120,"-12.15% / 20,151,138"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"-6.56% / 18,915,678"
미스터블루,207760,https://finance.naver.com/item/main.nhn?code=207760,"+5.91% / 17,964,119"
KG모빌리언스,046440,https://finance.naver.com/item/main.nhn?code=046440,"-2.98% / 17,389,008"
대한뉴팜,054670,https://finance.naver.com/item/main.nhn?code=054670,"+23.22% / 16,264,295"
케이프,064820,https://finance.naver.com/item/main.nhn?code=064820,"-10.93% / 15,621,655"
SV인베스트먼트,289080,https://finance.naver.com/item/main.nhn?code=289080,"-0.86% / 14,741,940"
이화전기,024810,https://finance.naver.com/item/main.nhn?code=024810,"-8.28% / 12,688,482"
이엠코리아,095190,https://finance.naver.com/item/main.nhn?code=095190,"-5.40% / 12,505,296"
대창솔루션,096350,https://finance.naver.com/item/main.nhn?code=096350,"-11.87% / 12,462,581"
알에프텍,061040,https://finance.naver.com/item/main.nhn?code=061040,"+29.95% / 12,328,091"
엘컴텍,037950,https://finance.naver.com/item/main.nhn?code=037950,"+4.00% / 12,216,602"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-8.79% / 11,956,488"
일신바이오,068330,https://finance.naver.com/item/main.nhn?code=068330,"-11.11% / 10,290,207"
