종목명,코드,상세정보,20.05.19,20.05.20,20.05.21,20.05.22,20.05.25
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"+29.91% / 164,426,291","+8.97% / 419,187,210(255%)","+0.12% / 126,141,499(77%)","+1.84% / 80,274,723","+3.50% / 65,797,871(40%)"
케이사인,192250,https://finance.naver.com/item/main.nhn?code=192250,"+12.78% / 60,535,468","-0.67% / 17,864,829(30%)","-4.03% / 4,797,173(8%)","-1.39% / 3,568,772","+6.01% / 19,071,939(32%)"
자안,221610,https://finance.naver.com/item/main.nhn?code=221610,"-30.00% / 56,503,470","+0.54% / 92,854,175(164%)","-3.06% / 24,114,284(43%)","-5.46% / 18,849,400","+3.66% / 89,127,630(158%)"
라온시큐어,042510,https://finance.naver.com/item/main.nhn?code=042510,"-1.23% / 45,458,501","+9.13% / 71,033,349(156%)","-6.19% / 25,217,208(55%)","-0.61% / 6,091,181","+10.51% / 45,885,579(101%)"
SK바이오랜드,052260,https://finance.naver.com/item/main.nhn?code=052260,"+4.81% / 43,804,473","+3.35% / 15,971,664(36%)","-1.44% / 4,942,060(11%)","+2.83% / 7,590,998","+1.91% / 3,332,377(8%)"
메이슨캐피탈,021880,https://finance.naver.com/item/main.nhn?code=021880,"+7.82% / 41,826,530","-3.93% / 5,891,740(14%)","+4.40% / 28,323,572(68%)","-2.42% / 15,213,283","+29.72% / 90,272,450(216%)"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"+5.75% / 36,762,555","-7.77% / 45,353,026(123%)","-0.84% / 8,691,987(24%)","-3.41% / 9,098,036","+2.65% / 9,888,258(27%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+2.44% / 34,261,863","-0.68% / 17,456,879(51%)","-2.40% / 12,546,504(37%)","+4.21% / 67,741,573","-0.34% / 19,223,510(56%)"
씨아이에스,222080,https://finance.naver.com/item/main.nhn?code=222080,"+3.97% / 26,342,957","+1.85% / 7,954,768(30%)","+2.36% / 10,388,736(39%)","-0.31% / 4,078,251","+4.40% / 4,904,892(19%)"
드림시큐리티,203650,https://finance.naver.com/item/main.nhn?code=203650,"-2.45% / 22,419,635","+4.09% / 12,433,181(55%)","-2.72% / 8,117,965(36%)","-1.86% / 2,626,870","+5.36% / 7,674,725(34%)"
한국전자인증,041460,https://finance.naver.com/item/main.nhn?code=041460,"+4.32% / 20,449,141","+29.02% / 50,043,174(245%)","-9.50% / 3,117,091(15%)","+2.51% / 1,466,079","+14.29% / 2,723,590(13%)"
한네트,052600,https://finance.naver.com/item/main.nhn?code=052600,"+24.19% / 20,428,664","-5.46% / 3,352,261(16%)","0.00% / 1,748,202(9%)","+0.65% / 20,962,048","+4.55% / 3,850,313(19%)"
현대공업,170030,https://finance.naver.com/item/main.nhn?code=170030,"+22.41% / 16,949,351","-1.86% / 2,945,773(17%)","-4.17% / 13,951,480(82%)","-2.45% / 1,222,730","+1.71% / 929,579(5%)"
YBM넷,057030,https://finance.naver.com/item/main.nhn?code=057030,"-2.17% / 16,098,178","+12.32% / 24,988,839(155%)","-3.29% / 9,428,420(59%)","-2.93% / 4,657,922","-2.67% / 2,269,522(14%)"
러셀,217500,https://finance.naver.com/item/main.nhn?code=217500,"+14.16% / 15,146,503","-0.53% / 1,802,120(12%)","+1.33% / 1,222,331(8%)","+7.01% / 16,695,597","+4.37% / 4,466,522(29%)"
삼진엘앤디,054090,https://finance.naver.com/item/main.nhn?code=054090,"+29.38% / 14,488,237","-6.77% / 2,769,595(19%)","-0.65% / 984,559(7%)","-4.07% / 1,574,037","+3.90% / 8,487,579(59%)"
서플러스글로벌,140070,https://finance.naver.com/item/main.nhn?code=140070,"+18.28% / 14,065,754","-1.32% / 1,565,031(11%)","+1.34% / 1,460,879(10%)","+2.65% / 3,119,516","0.00% / 808,559(6%)"
플레이디,237820,https://finance.naver.com/item/main.nhn?code=237820,"+29.69% / 13,609,857","+6.73% / 15,298,226(112%)","-4.73% / 2,300,488(17%)","+2.01% / 3,534,416","+4.26% / 3,464,518(25%)"
넥스트아이,137940,https://finance.naver.com/item/main.nhn?code=137940,"+10.47% / 12,735,777","-0.65% / 2,562,147(20%)","0.00% / 9,869,273(77%)","-4.65% / 1,759,720","-2.09% / 1,192,199(9%)"
파워넷,037030,https://finance.naver.com/item/main.nhn?code=037030,"+29.76% / 12,617,045","-1.67% / 18,432,110(146%)","-1.10% / 14,543,386(115%)","+4.58% / 4,614,779","+1.90% / 4,009,345(32%)"
시너지이노베이션,048870,https://finance.naver.com/item/main.nhn?code=048870,"+16.47% / 12,423,047","-2.27% / 1,427,266(11%)","+5.94% / 4,622,676(37%)","-1.94% / 3,868,254","-1.98% / 1,573,001(13%)"
한솔인티큐브,070590,https://finance.naver.com/item/main.nhn?code=070590,"-20.46% / 11,068,748","-2.06% / 2,970,939(27%)","-0.74% / 1,178,878(11%)","-2.75% / 1,721,036","-0.39% / 696,088(6%)"
케이씨티,089150,https://finance.naver.com/item/main.nhn?code=089150,"+29.96% / 10,496,352","+4.81% / 13,323,439(127%)","-2.85% / 2,463,781(23%)","+7.75% / 32,667,065","+2.10% / 1,033,679(10%)"
