종목명,코드,상세정보,20.07.14,20.07.15,20.07.16,20.07.17
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"+25.19% / 118,997,921","-6.58% / 52,368,006(44%)","-2.79% / 23,832,912","+6.21% / 87,648,536(74%)"
오리엔트정공,065500,https://finance.naver.com/item/main.nhn?code=065500,"+19.73% / 67,083,957","-7.92% / 20,276,951(30%)","-1.40% / 84,415,784","+1.42% / 20,414,246(30%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+0.35% / 58,408,942","-1.41% / 15,472,162(26%)","-2.50% / 9,458,825","+0.37% / 11,106,662(19%)"
유비케어,032620,https://finance.naver.com/item/main.nhn?code=032620,"+6.61% / 50,944,290","-7.75% / 5,019,778(10%)","+6.72% / 25,308,301","0.00% / 6,875,650(13%)"
슈펙스비앤피,058530,https://finance.naver.com/item/main.nhn?code=058530,"+6.41% / 33,763,987","+7.27% / 26,734,332(79%)","+13.56% / 52,519,313","+19.90% / 129,008,711(382%)"
코센,009730,https://finance.naver.com/item/main.nhn?code=009730,"+11.81% / 32,564,063","-4.69% / 5,618,279(17%)","+6.44% / 13,673,952","+7.12% / 8,252,343(25%)"
쏠리드,050890,https://finance.naver.com/item/main.nhn?code=050890,"+7.62% / 31,603,950","+3.28% / 12,276,909(39%)","-4.37% / 13,291,178","+2.35% / 3,142,917(10%)"
엑셈,205100,https://finance.naver.com/item/main.nhn?code=205100,"+10.15% / 28,009,694","+5.05% / 6,020,686(21%)","-4.26% / 2,569,020","-2.17% / 1,882,206(7%)"
필로시스헬스케어,057880,https://finance.naver.com/item/main.nhn?code=057880,"+29.93% / 23,822,833","-10.96% / 16,072,755(67%)","-1.26% / 2,895,798","-9.58% / 10,599,571(44%)"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"-8.51% / 22,655,966","0.00% / 4,943,771(22%)","+4.25% / 16,400,239","+6.25% / 24,774,314(109%)"
라이브플렉스,050120,https://finance.naver.com/item/main.nhn?code=050120,"-13.51% / 21,350,599","-2.17% / 7,156,022(34%)","-0.25% / 8,976,744","+3.59% / 16,810,222(79%)"
비트컴퓨터,032850,https://finance.naver.com/item/main.nhn?code=032850,"-7.27% / 20,789,771","-3.63% / 2,239,699(11%)","+1.26% / 3,291,388","-1.65% / 1,011,592(5%)"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"+3.88% / 18,552,930","-0.29% / 12,489,496(67%)","-3.19% / 5,778,728","+0.90% / 5,158,784(28%)"
휴마시스,205470,https://finance.naver.com/item/main.nhn?code=205470,"-2.89% / 16,176,688","-7.60% / 8,498,834(53%)","-0.41% / 4,892,714","+3.72% / 6,296,873(39%)"
동국S&C,100130,https://finance.naver.com/item/main.nhn?code=100130,"-9.77% / 15,890,682","0.00% / 4,178,065(26%)","+5.90% / 32,917,369","+3.66% / 8,419,872(53%)"
모바일어플라이언스,087260,https://finance.naver.com/item/main.nhn?code=087260,"-0.50% / 13,815,877","-2.55% / 2,053,727(15%)","-2.61% / 1,981,908","+2.15% / 931,366(7%)"
바이넥스,053030,https://finance.naver.com/item/main.nhn?code=053030,"+5.48% / 13,376,503","-2.55% / 3,338,926(25%)","+0.33% / 1,811,541","-1.30% / 945,312(7%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+1.59% / 13,189,801","-0.85% / 4,792,160(36%)","+2.59% / 6,573,454","+1.54% / 6,083,073(46%)"
신일제약,012790,https://finance.naver.com/item/main.nhn?code=012790,"+23.24% / 13,011,743","-6.74% / 10,378,351(80%)","+9.94% / 5,115,013","+11.78% / 5,985,943(46%)"
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"0.00% / 12,147,654","+1.98% / 14,451,672(119%)","-1.11% / 7,867,614","-1.96% / 3,227,095(27%)"
쎄노텍,222420,https://finance.naver.com/item/main.nhn?code=222420,"+1.17% / 11,895,148","+4.29% / 2,810,228(24%)","+0.78% / 1,744,123","-0.39% / 4,130,943(35%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"+2.53% / 10,246,434","+29.91% / 128,186,713(1251%)","+10.63% / 263,072,522","-2.88% / 68,571,798(669%)"
비디아이,148140,https://finance.naver.com/item/main.nhn?code=148140,"+29.97% / 10,243,317","+9.32% / 13,315,910(130%)","+0.87% / 5,131,325","+2.82% / 3,504,241(34%)"
