종목명,코드,상세정보,20.07.13,20.07.14,20.07.15,20.07.16,20.07.17
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+7.46% / 152,462,868","+0.35% / 58,408,942(38%)","-1.41% / 15,472,162(10%)","-2.50% / 9,458,825","+0.37% / 11,106,662(7%)"
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"+29.98% / 86,789,971","+25.19% / 118,997,921(137%)","-6.58% / 52,368,006(60%)","-2.79% / 23,832,912","+6.21% / 87,648,536(101%)"
휴마시스,205470,https://finance.naver.com/item/main.nhn?code=205470,"+16.88% / 48,937,898","-2.89% / 16,176,688(33%)","-7.60% / 8,498,834(17%)","-0.41% / 4,892,714","+3.72% / 6,296,873(13%)"
EDGC,245620,https://finance.naver.com/item/main.nhn?code=245620,"+7.33% / 35,883,178","-4.97% / 5,764,930(16%)","-16.35% / 8,740,255(24%)","-2.68% / 4,574,671","+2.36% / 2,735,503(8%)"
동국S&C,100130,https://finance.naver.com/item/main.nhn?code=100130,"+3.58% / 27,916,825","-9.77% / 15,890,682(57%)","0.00% / 4,178,065(15%)","+5.90% / 32,917,369","+3.66% / 8,419,872(30%)"
라이브플렉스,050120,https://finance.naver.com/item/main.nhn?code=050120,"-1.55% / 27,063,708","-13.51% / 21,350,599(79%)","-2.17% / 7,156,022(26%)","-0.25% / 8,976,744","+3.59% / 16,810,222(62%)"
MP한강,219550,https://finance.naver.com/item/main.nhn?code=219550,"+17.08% / 22,902,739","0.00% / 4,461,208(19%)","+1.21% / 3,400,431(15%)","-1.20% / 2,300,702","-0.91% / 3,091,362(13%)"
알서포트,131370,https://finance.naver.com/item/main.nhn?code=131370,"+7.59% / 22,662,609","-6.57% / 9,931,307(44%)","-3.65% / 5,198,125(23%)","-0.00% / 6,075,393","-0.43% / 2,014,737(9%)"
소마젠(Reg.S),950200,https://finance.naver.com/item/main.nhn?code=950200,"+29.61% / 20,757,344","+29.80% / 3,320,299(16%)","+4.08% / 22,218,960(107%)","+0.25% / 10,472,823","-2.20% / 2,873,964(14%)"
오리엔트정공,065500,https://finance.naver.com/item/main.nhn?code=065500,"-9.44% / 19,008,077","+19.73% / 67,083,957(353%)","-7.92% / 20,276,951(107%)","-1.40% / 84,415,784","+1.42% / 20,414,246(107%)"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"+12.79% / 17,711,193","-8.51% / 22,655,966(128%)","0.00% / 4,943,771(28%)","+4.25% / 16,400,239","+6.25% / 24,774,314(140%)"
SM Life Design,063440,https://finance.naver.com/item/main.nhn?code=063440,"+7.66% / 14,966,714","+0.44% / 7,368,433(49%)","-6.16% / 5,965,681(40%)","-2.71% / 4,680,802","+5.12% / 7,379,829(49%)"
스킨앤스킨,159910,https://finance.naver.com/item/main.nhn?code=159910,"-9.25% / 14,592,478","-0.38% / 4,165,280(29%)",0.00% / 0(0%),0.00% / 0(0%),0.00% / 0(0%)
소프트캠프,258790,https://finance.naver.com/item/main.nhn?code=258790,"+17.16% / 13,544,358","-3.43% / 2,434,805(18%)","-4.71% / 1,460,898(11%)","-2.96% / 946,974","+2.29% / 746,167(6%)"
일신바이오,068330,https://finance.naver.com/item/main.nhn?code=068330,"+2.45% / 13,345,394","-1.00% / 2,380,567(18%)","-1.78% / 2,673,157(20%)","-0.60% / 1,761,199","+2.83% / 1,483,425(11%)"
판타지오,032800,https://finance.naver.com/item/main.nhn?code=032800,"+1.39% / 12,751,660","-2.29% / 1,961,584(15%)","-0.80% / 780,741(6%)","+0.35% / 669,002","+1.03% / 754,647(6%)"
에스모,073070,https://finance.naver.com/item/main.nhn?code=073070,"+3.51% / 11,587,419","-2.66% / 2,750,689(24%)","+2.00% / 5,169,637(45%)","+4.65% / 5,575,277","-3.97% / 3,819,666(33%)"
캠시스,050110,https://finance.naver.com/item/main.nhn?code=050110,"+7.19% / 11,266,402","+0.67% / 5,247,173(47%)","-0.50% / 7,257,570(64%)","-0.67% / 4,313,205","0.00% / 2,528,173(22%)"
