종목명,코드,상세정보,20.07.21,20.07.22,20.07.23,20.07.24,20.07.27
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"+12.05% / 73,730,136","+5.72% / 90,182,070(122%)","-2.60% / 19,669,706(27%)","-5.78% / 9,556,016(13%)","+2.86% / 9,510,073(13%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"-8.22% / 52,924,607","-9.18% / 38,200,452(72%)","+0.74% / 38,370,682(73%)","+1.10% / 57,039,584(108%)","-1.69% / 20,137,901(38%)"
뉴보텍,060260,https://finance.naver.com/item/main.nhn?code=060260,"-1.62% / 47,630,435","-4.00% / 8,030,862(17%)","-5.15% / 5,170,562(11%)","-3.88% / 6,019,025(13%)","-0.54% / 2,487,032(5%)"
동국S&C,100130,https://finance.naver.com/item/main.nhn?code=100130,"+12.00% / 42,596,298","-2.91% / 18,906,223(44%)","-1.77% / 4,144,806(10%)","+0.14% / 4,564,987(11%)","+1.66% / 10,477,977(25%)"
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"-0.33% / 36,380,786","-2.34% / 7,300,855(20%)","0.00% / 5,059,078(14%)","-2.05% / 4,325,408(12%)","0.00% / 3,241,012(9%)"
코센,009730,https://finance.naver.com/item/main.nhn?code=009730,"+10.00% / 28,495,832","-9.35% / 10,255,367(36%)","-6.59% / 10,104,978(35%)","-1.23% / 6,056,818(21%)","-1.23% / 10,861,433(38%)"
젬백스링크,064800,https://finance.naver.com/item/main.nhn?code=064800,"+6.12% / 27,452,548","0.00% / 3,383,745(12%)","+2.71% / 9,234,118(34%)","-2.31% / 2,974,118(11%)","+2.05% / 4,855,187(18%)"
조아제약,034940,https://finance.naver.com/item/main.nhn?code=034940,"+11.30% / 27,152,618","-1.90% / 3,936,362(14%)","+3.09% / 23,949,555(88%)","-0.75% / 6,623,921(24%)","-5.26% / 2,330,431(9%)"
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"-2.50% / 25,751,783","-1.18% / 30,769,988(119%)","-3.35% / 12,996,162(50%)","+0.22% / 10,568,025(41%)","-1.34% / 6,351,180(25%)"
SM Life Design,063440,https://finance.naver.com/item/main.nhn?code=063440,"+0.90% / 23,399,200","-5.82% / 4,641,028(20%)","-6.65% / 4,081,909(17%)","-2.04% / 2,002,157(9%)","0.00% / 1,206,394(5%)"
웰크론한텍,076080,https://finance.naver.com/item/main.nhn?code=076080,"+4.47% / 22,458,366","-6.68% / 4,741,672(21%)","-4.59% / 2,654,380(12%)","-4.04% / 2,820,179(13%)","-6.19% / 1,672,979(7%)"
동국산업,005160,https://finance.naver.com/item/main.nhn?code=005160,"+14.33% / 22,270,217","-0.26% / 7,473,585(34%)","-4.53% / 2,028,345(9%)","-2.17% / 1,212,352(5%)","+1.80% / 1,629,764(7%)"
대창솔루션,096350,https://finance.naver.com/item/main.nhn?code=096350,"+5.21% / 21,247,897","-3.41% / 4,155,914(20%)","-0.96% / 2,395,559(11%)","-1.29% / 2,298,153(11%)","-0.33% / 1,499,997(7%)"
웹스,196700,https://finance.naver.com/item/main.nhn?code=196700,"+5.92% / 18,570,726","+3.73% / 5,344,477(29%)","-7.39% / 755,635(4%)","-2.80% / 428,904(2%)","+3.55% / 479,271(3%)"
글로스퍼랩스,032860,https://finance.naver.com/item/main.nhn?code=032860,"+11.02% / 17,828,193","-3.55% / 3,555,805(20%)","+5.88% / 7,317,237(41%)","-3.12% / 1,946,182(11%)","-6.45% / 2,436,453(14%)"
형지I&C,011080,https://finance.naver.com/item/main.nhn?code=011080,"+0.63% / 17,057,663","-5.41% / 4,026,540(24%)","-6.49% / 2,759,735(16%)","+9.53% / 15,827,724(93%)","+7.29% / 12,615,328(74%)"
슈펙스비앤피,058530,https://finance.naver.com/item/main.nhn?code=058530,"-4.22% / 16,504,193","-9.25% / 11,803,221(72%)","-4.37% / 8,963,694(54%)","+5.58% / 35,670,001(216%)","-0.96% / 5,709,211(35%)"
진매트릭스,109820,https://finance.naver.com/item/main.nhn?code=109820,"-4.01% / 16,293,201","-3.92% / 7,650,493(47%)","0.00% / 7,167,872(44%)","-7.07% / 3,192,470(20%)","-2.94% / 2,067,242(13%)"
쏠리드,050890,https://finance.naver.com/item/main.nhn?code=050890,"+4.88% / 14,416,962","+3.06% / 5,541,955(38%)","-1.78% / 3,733,079(26%)","+0.12% / 3,888,540(27%)","-3.01% / 2,484,465(17%)"
앤디포스,238090,https://finance.naver.com/item/main.nhn?code=238090,"+21.03% / 13,798,839","-2.25% / 2,755,258(20%)","+2.81% / 5,255,300(38%)","-0.62% / 1,335,160(10%)","+0.13% / 1,425,732(10%)"
오리엔트정공,065500,https://finance.naver.com/item/main.nhn?code=065500,"-6.28% / 13,660,907","-2.87% / 10,432,088(76%)","-3.16% / 6,433,402(47%)","-0.20% / 6,140,740(45%)","+1.43% / 7,437,054(54%)"
자연과환경,043910,https://finance.naver.com/item/main.nhn?code=043910,"-1.24% / 12,413,452","-1.25% / 3,014,450(24%)","-2.22% / 1,497,197(12%)","-1.30% / 1,199,605(10%)","+3.63% / 2,699,462(22%)"
미코,059090,https://finance.naver.com/item/main.nhn?code=059090,"+7.34% / 12,349,209","-1.80% / 2,477,098(20%)","-2.20% / 3,163,376(26%)","+5.62% / 14,575,481(118%)","+12.10% / 12,510,456(101%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-2.14% / 11,769,268","+3.64% / 22,994,344(195%)","-1.75% / 22,872,992(194%)","+0.71% / 14,611,659(124%)","-1.07% / 13,833,933(118%)"
동아화성,041930,https://finance.naver.com/item/main.nhn?code=041930,"+3.04% / 11,348,946","-0.55% / 3,439,293(30%)","-4.61% / 1,502,936(13%)","-2.30% / 1,076,335(9%)","-1.42% / 1,136,376(10%)"
진양제약,007370,https://finance.naver.com/item/main.nhn?code=007370,"+5.84% / 11,268,065","+6.65% / 4,325,137(38%)","+1.19% / 6,991,837(62%)","+2.36% / 2,802,879(25%)","-12.92% / 1,333,628(12%)"
나인테크,267320,https://finance.naver.com/item/main.nhn?code=267320,"+6.60% / 11,214,341","-4.13% / 2,058,502(18%)","-4.11% / 2,144,898(19%)","-1.84% / 3,451,225(31%)","-0.42% / 959,908(9%)"
화일약품,061250,https://finance.naver.com/item/main.nhn?code=061250,"+29.95% / 10,769,117","+0.39% / 16,765,927(156%)","-2.72% / 7,889,349(73%)","+2.80% / 18,065,047(168%)","-10.84% / 3,107,773(29%)"
소마젠(Reg.S),950200,https://finance.naver.com/item/main.nhn?code=950200,"+6.99% / 10,512,000","-1.01% / 3,717,283(35%)","0.00% / 2,105,223(20%)","-4.06% / 1,400,216(13%)","-5.04% / 826,231(8%)"
