종목명,코드,상세정보,20.09.08,20.09.09,20.09.10,20.09.11,20.09.14
파트론,091700,https://finance.naver.com/item/main.nhn?code=091700,"+12.87% / 12,510,959","+0.87% / 4,460,163(36%)","-2.59% / 3,698,904(30%)","+1.32% / 1,632,177(13%)","+1.29% / 1,814,331(15%)"
기가레인,049080,https://finance.naver.com/item/main.nhn?code=049080,"-2.69% / 11,947,006","+4.91% / 7,130,124(60%)","-2.94% / 2,154,966(18%)","+4.19% / 3,780,620(32%)","-3.40% / 2,148,737(18%)"
녹십자웰빙,234690,https://finance.naver.com/item/main.nhn?code=234690,"-0.91% / 11,614,321","-5.35% / 1,037,324(9%)","+1.36% / 1,149,127(10%)","+5.74% / 10,849,831(93%)","-1.90% / 843,676(7%)"
이스트아시아홀딩스,900110,https://finance.naver.com/item/main.nhn?code=900110,"-6.20% / 11,481,387","-4.26% / 4,497,722(39%)","+2.74% / 9,609,562(84%)","-0.88% / 3,185,756(28%)","-3.22% / 4,123,852(36%)"
케이씨티,089150,https://finance.naver.com/item/main.nhn?code=089150,"+20.75% / 11,410,418","-4.60% / 4,592,016(40%)","+2.35% / 1,603,568(14%)","+0.35% / 4,289,878(38%)","+12.48% / 3,877,556(34%)"
다우데이타,032190,https://finance.naver.com/item/main.nhn?code=032190,"+3.03% / 11,383,100","+0.98% / 1,078,352(9%)","-4.15% / 797,799(7%)","+2.00% / 1,664,966(15%)","-1.30% / 546,485(5%)"
이디티,215090,https://finance.naver.com/item/main.nhn?code=215090,"-4.62% / 11,318,670","-11.52% / 2,258,184(20%)","-3.69% / 1,387,708(12%)","-3.79% / 1,127,023(10%)","+2.43% / 742,348(7%)"
한국정보인증,053300,https://finance.naver.com/item/main.nhn?code=053300,"+4.75% / 11,302,783","+0.85% / 1,560,031(14%)","-1.94% / 2,718,185(24%)","+1.83% / 1,472,792(13%)","+5.04% / 17,706,577(157%)"
아주IB투자,027360,https://finance.naver.com/item/main.nhn?code=027360,"+5.71% / 11,263,558","-4.44% / 2,008,229(18%)","-0.72% / 1,193,839(11%)","+1.08% / 985,911(9%)","+1.42% / 1,361,463(12%)"
수젠텍,253840,https://finance.naver.com/item/main.nhn?code=253840,"-13.42% / 10,715,501","-9.59% / 2,793,159(26%)","+4.16% / 2,508,543(23%)","+12.15% / 6,090,999(57%)","+1.61% / 2,145,529(20%)"
메타바이오메드,059210,https://finance.naver.com/item/main.nhn?code=059210,"+6.27% / 10,394,984","-5.39% / 1,021,849(10%)","+0.70% / 575,896(6%)","+1.40% / 391,189(4%)","-0.69% / 330,449(3%)"
손오공,066910,https://finance.naver.com/item/main.nhn?code=066910,"+7.93% / 10,149,391","-2.48% / 3,429,792(34%)","+0.56% / 2,330,688(23%)","+1.67% / 8,041,823(79%)","+3.01% / 2,272,963(22%)"
