종목명,코드,상세정보,20.07.17,20.07.21,20.07.22,20.07.23
슈펙스비앤피,058530,https://finance.naver.com/item/main.nhn?code=058530,"+19.90% / 129,008,711","-4.22% / 16,504,194(13%)","-9.25% / 11,803,221(9%)","-4.37% / 8,963,694(7%)"
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"+6.21% / 87,648,536","-2.50% / 25,751,783(29%)","-1.18% / 30,769,988(35%)","-3.35% / 12,996,162(15%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"-2.88% / 68,571,798","-8.22% / 52,924,608(77%)","-9.18% / 38,200,452(56%)","+0.74% / 38,370,682(56%)"
대주산업,003310,https://finance.naver.com/item/main.nhn?code=003310,"+13.20% / 55,485,837","+0.36% / 7,454,014(13%)","+8.70% / 61,928,533(112%)","+9.67% / 21,439,981(39%)"
뉴보텍,060260,https://finance.naver.com/item/main.nhn?code=060260,"+12.50% / 38,384,162","-1.62% / 47,633,041(124%)","-4.00% / 8,030,862(21%)","-5.15% / 5,170,562(13%)"
켐트로스,220260,https://finance.naver.com/item/main.nhn?code=220260,"+17.09% / 35,599,290","+0.84% / 5,852,217(16%)","-3.75% / 3,137,893(9%)","-3.78% / 2,298,514(6%)"
카스,016920,https://finance.naver.com/item/main.nhn?code=016920,"+29.94% / 32,346,422","-0.23% / 9,068,467(28%)","-4.78% / 7,147,121(22%)","-0.48% / 3,299,785(10%)"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"+5.69% / 28,707,842","-3.04% / 4,664,239(16%)","-4.04% / 3,970,004(14%)","+1.87% / 3,674,115(13%)"
미코,059090,https://finance.naver.com/item/main.nhn?code=059090,"+20.75% / 27,071,585","+7.34% / 12,349,209(46%)","-1.80% / 2,477,098(9%)","-2.20% / 3,163,376(12%)"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"+6.25% / 24,774,314","+12.05% / 73,730,136(298%)","+5.72% / 90,182,070(364%)","-2.60% / 19,669,706(79%)"
오리엔트정공,065500,https://finance.naver.com/item/main.nhn?code=065500,"+1.42% / 20,414,246","-6.28% / 13,660,907(67%)","-2.87% / 10,432,088(51%)","-3.16% / 6,433,402(32%)"
라이브플렉스,050120,https://finance.naver.com/item/main.nhn?code=050120,"+3.59% / 16,810,222","-2.91% / 3,124,277(19%)","-6.49% / 7,292,516(43%)","-6.54% / 6,109,661(36%)"
대아티아이,045390,https://finance.naver.com/item/main.nhn?code=045390,"+4.98% / 15,014,036","-0.42% / 5,515,825(37%)","-1.99% / 3,307,594(22%)","-3.33% / 3,788,591(25%)"
알에프텍,061040,https://finance.naver.com/item/main.nhn?code=061040,"+11.94% / 14,639,155","-5.31% / 3,485,703(24%)","-0.47% / 1,748,064(12%)","-3.76% / 2,018,721(14%)"
정다운,208140,https://finance.naver.com/item/main.nhn?code=208140,"+14.03% / 13,177,221","-5.15% / 4,771,406(36%)","-4.34% / 2,995,868(23%)","-4.82% / 2,674,914(20%)"
진매트릭스,109820,https://finance.naver.com/item/main.nhn?code=109820,"+27.61% / 11,394,448","-4.01% / 16,294,894(143%)","-3.92% / 7,650,493(67%)","0.00% / 7,167,872(63%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+0.37% / 11,106,662","-2.14% / 11,769,770(106%)","+3.64% / 22,994,344(207%)","-1.75% / 22,872,992(206%)"
동아화성,041930,https://finance.naver.com/item/main.nhn?code=041930,"-1.36% / 11,078,631","+3.04% / 11,349,121(102%)","-0.55% / 3,439,293(31%)","-4.61% / 1,502,936(14%)"
필로시스헬스케어,057880,https://finance.naver.com/item/main.nhn?code=057880,"-9.58% / 10,599,571","0.00% / 2,141,053(20%)","-2.97% / 3,109,941(29%)","+0.38% / 1,678,491(16%)"
