종목명,코드,상세정보,20.08.11,20.08.12,20.08.13,20.08.14
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"+29.61% / 120,050,120","+8.24% / 214,150,772(178%)","+6.57% / 158,910,666(132%)","-3.25% / 53,250,526(44%)"
일신바이오,068330,https://finance.naver.com/item/main.nhn?code=068330,"+29.99% / 104,679,236","+29.88% / 80,316,548(77%)","-8.14% / 60,838,330(58%)","-8.52% / 14,328,733(14%)"
자연과환경,043910,https://finance.naver.com/item/main.nhn?code=043910,"+3.89% / 61,701,188","-4.61% / 7,425,756(12%)","-3.32% / 5,116,839(8%)","0.00% / 5,917,542(10%)"
쏠리드,050890,https://finance.naver.com/item/main.nhn?code=050890,"+9.85% / 38,819,607","+1.79% / 15,016,027(39%)","-1.32% / 6,867,367(18%)","+4.46% / 8,839,993(23%)"
디에이테크놀로지,196490,https://finance.naver.com/item/main.nhn?code=196490,"-2.39% / 37,708,417","-0.82% / 33,940,233(90%)","+2.47% / 25,896,104(69%)","-3.48% / 4,650,811(12%)"
한국비엔씨,256840,https://finance.naver.com/item/main.nhn?code=256840,"+21.29% / 34,175,596","-15.65% / 7,398,970(22%)","-3.69% / 4,711,940(14%)","-4.94% / 3,066,202(9%)"
특수건설,026150,https://finance.naver.com/item/main.nhn?code=026150,"+11.14% / 24,808,055","-7.20% / 5,900,660(24%)","-2.91% / 1,526,341(6%)","-1.28% / 968,116(4%)"
오리엔트정공,065500,https://finance.naver.com/item/main.nhn?code=065500,"-6.37% / 24,347,475","+13.75% / 70,416,896(289%)","+9.15% / 91,501,382(376%)",0.00% / 0(0%)
제넨바이오,072520,https://finance.naver.com/item/main.nhn?code=072520,"+2.40% / 23,968,311","+1.75% / 10,425,780(43%)","-5.60% / 9,736,636(41%)","-1.52% / 5,764,501(24%)"
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"-3.03% / 22,011,692","-5.58% / 9,975,423(45%)","-0.87% / 14,758,100(67%)","0.00% / 5,723,810(26%)"
에이스테크,088800,https://finance.naver.com/item/main.nhn?code=088800,"+9.96% / 21,476,181","+3.29% / 9,907,329(46%)","-6.22% / 3,362,082(16%)","+1.19% / 4,599,759(21%)"
이화공영,001840,https://finance.naver.com/item/main.nhn?code=001840,"+29.96% / 18,708,586","+6.29% / 28,987,938(155%)","-7.89% / 4,237,254(23%)","-4.74% / 2,536,140(14%)"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"+3.36% / 18,219,144","-4.88% / 6,188,687(34%)","-5.98% / 4,245,582(23%)","-2.27% / 2,982,177(16%)"
씨아이에스,222080,https://finance.naver.com/item/main.nhn?code=222080,"+0.51% / 17,653,920","-0.76% / 5,839,547(33%)","+3.98% / 43,992,689(249%)","+3.95% / 18,622,427(105%)"
OQP,078590,https://finance.naver.com/item/main.nhn?code=078590,"+11.27% / 15,045,810","+1.40% / 5,677,706(38%)","+12.90% / 7,896,878(52%)","-10.48% / 3,596,825(24%)"
한국바이오젠,318000,https://finance.naver.com/item/main.nhn?code=318000,"+29.97% / 13,469,505","+12.11% / 13,978,509(104%)","-0.47% / 2,537,603(19%)","-11.52% / 1,760,411(13%)"
삼진엘앤디,054090,https://finance.naver.com/item/main.nhn?code=054090,"+1.32% / 13,311,664","-1.69% / 3,995,650(30%)","-6.08% / 15,180,376(114%)","-3.66% / 2,162,453(16%)"
프로스테믹스,203690,https://finance.naver.com/item/main.nhn?code=203690,"+4.00% / 13,255,060","-4.68% / 2,195,087(17%)","-4.80% / 1,962,119(15%)","-2.64% / 1,086,495(8%)"
와이팜,332570,https://finance.naver.com/item/main.nhn?code=332570,"+23.23% / 12,978,084","-4.92% / 4,950,048(38%)","-1.44% / 1,370,071(11%)","-7.87% / 1,026,846(8%)"
엑세스바이오,950130,https://finance.naver.com/item/main.nhn?code=950130,"+20.64% / 11,757,640","+9.40% / 9,764,695(83%)",0.00% / 0(0%),"+23.57% / 10,036,195(85%)"
대창솔루션,096350,https://finance.naver.com/item/main.nhn?code=096350,"+0.28% / 10,978,802","-5.35% / 3,853,170(35%)","+2.68% / 4,105,273(37%)","-3.19% / 2,841,128(26%)"
심텍홀딩스,036710,https://finance.naver.com/item/main.nhn?code=036710,"+11.63% / 10,511,548","-3.98% / 586,814(6%)","-7.69% / 1,284,237(12%)","-1.71% / 524,894(5%)"
유에스티,263770,https://finance.naver.com/item/main.nhn?code=263770,"+29.94% / 10,496,352","+16.35% / 24,922,356(237%)","-7.77% / 3,613,880(34%)","-5.19% / 1,396,396(13%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-1.04% / 10,334,056","-2.45% / 9,439,107(91%)","+5.38% / 11,577,400(112%)","-1.02% / 10,216,352(99%)"
