종목명,코드,상세정보,20.08.03,20.08.04,20.08.05,20.08.06,20.08.07
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"+24.80% / 102,946,206","+9.09% / 80,929,328(79%)","+2.33% / 33,474,620(33%)","+0.33% / 44,616,871(43%)","+3.08% / 17,288,226(17%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+4.96% / 75,266,638","-0.34% / 25,345,455(34%)","-0.68% / 16,966,654(23%)","+1.03% / 21,085,188(28%)","0.00% / 8,894,947(12%)"
휴마시스,205470,https://finance.naver.com/item/main.nhn?code=205470,"+29.69% / 41,403,334","-1.81% / 27,036,885(65%)","+2.76% / 14,969,181(36%)","+2.69% / 5,095,303(12%)","-5.52% / 2,937,996(7%)"
제넨바이오,072520,https://finance.naver.com/item/main.nhn?code=072520,"+8.53% / 41,179,337","-1.25% / 13,078,805(32%)","+17.09% / 99,218,643(241%)","+5.95% / 62,868,372(153%)","+3.57% / 27,652,937(67%)"
켐트로스,220260,https://finance.naver.com/item/main.nhn?code=220260,"+25.32% / 37,680,431","+9.88% / 30,671,889(81%)","+1.24% / 10,318,689(27%)","+20.21% / 51,390,834(136%)","-7.52% / 5,706,866(15%)"
EDGC,245620,https://finance.naver.com/item/main.nhn?code=245620,"+18.60% / 36,258,592","-7.42% / 9,523,386(26%)","0.00% / 6,216,378(17%)","-0.55% / 4,853,374(13%)","-4.44% / 2,588,258(7%)"
SM Life Design,063440,https://finance.naver.com/item/main.nhn?code=063440,"+7.81% / 34,686,603","-2.66% / 4,615,792(13%)","-2.23% / 2,606,339(8%)","-0.76% / 2,014,803(6%)","-1.53% / 1,112,419(3%)"
옴니시스템,057540,https://finance.naver.com/item/main.nhn?code=057540,"-5.54% / 19,090,686","+0.19% / 7,955,155(42%)","-1.89% / 7,173,843(38%)","-1.93% / 2,679,572(14%)","0.00% / 1,084,723(6%)"
일신바이오,068330,https://finance.naver.com/item/main.nhn?code=068330,"+6.75% / 18,691,698","+2.80% / 8,049,107(43%)","-0.91% / 14,442,408(77%)","+0.65% / 5,692,390(30%)","-2.47% / 3,013,897(16%)"
앤디포스,238090,https://finance.naver.com/item/main.nhn?code=238090,"+7.27% / 18,018,353","+0.46% / 2,663,977(15%)","-2.61% / 1,962,707(11%)","-3.15% / 1,489,526(8%)","-3.37% / 1,153,106(6%)"
한국알콜,017890,https://finance.naver.com/item/main.nhn?code=017890,"+6.59% / 17,715,618","-0.26% / 3,143,671(18%)","-1.06% / 1,635,354(9%)","+5.60% / 2,607,517(15%)","-3.28% / 895,761(5%)"
우진비앤지,018620,https://finance.naver.com/item/main.nhn?code=018620,"+13.68% / 15,965,929","+9.91% / 15,338,716(96%)","-3.33% / 3,140,773(20%)","-3.07% / 4,881,225(31%)","-1.45% / 1,343,568(8%)"
퓨쳐스트림네트웍스,214270,https://finance.naver.com/item/main.nhn?code=214270,"+5.71% / 15,320,878","+0.45% / 3,441,891(22%)","+4.04% / 10,706,708(70%)","-2.59% / 2,340,470(15%)","+0.88% / 1,817,647(12%)"
넥슨지티,041140,https://finance.naver.com/item/main.nhn?code=041140,"+28.24% / 14,948,055","+3.42% / 14,453,154(97%)","+7.63% / 7,929,232(53%)","-2.60% / 2,354,903(16%)","+2.67% / 2,923,272(20%)"
삼본전자,111870,https://finance.naver.com/item/main.nhn?code=111870,"+8.61% / 14,518,007","+4.48% / 4,607,317(32%)","+4.62% / 6,523,080(45%)","-1.89% / 1,498,643(10%)","-3.54% / 1,140,003(8%)"
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"-7.94% / 13,793,576","-5.98% / 19,727,870(143%)","+5.91% / 23,917,552(173%)","-4.72% / 9,228,117(67%)","-1.35% / 6,523,516(47%)"
엘비세미콘,061970,https://finance.naver.com/item/main.nhn?code=061970,"+5.93% / 13,183,640","+1.97% / 11,022,243(84%)","+7.73% / 12,626,173(96%)","-2.24% / 5,234,178(40%)","-2.75% / 2,459,411(19%)"
한류AI센터,222810,https://finance.naver.com/item/main.nhn?code=222810,"+14.85% / 13,008,398","-10.36% / 15,699,589(121%)","+2.39% / 7,508,884(58%)","+3.89% / 3,504,761(27%)","-3.37% / 1,383,952(11%)"
