종목명,코드,상세정보,20.09.28
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"-3.81% / 173,785,051"
루미마이크로,082800,https://finance.naver.com/item/main.nhn?code=082800,"+20.95% / 148,500,260"
SV인베스트먼트,289080,https://finance.naver.com/item/main.nhn?code=289080,"+3.11% / 113,156,055"
우리기술,032820,https://finance.naver.com/item/main.nhn?code=032820,"-4.95% / 75,573,798"
모트렉스,118990,https://finance.naver.com/item/main.nhn?code=118990,"+13.90% / 62,922,552"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"+0.98% / 60,416,475"
메디콕스,054180,https://finance.naver.com/item/main.nhn?code=054180,"+7.92% / 46,021,072"
한일진공,123840,https://finance.naver.com/item/main.nhn?code=123840,"+29.63% / 42,990,686"
MP한강,219550,https://finance.naver.com/item/main.nhn?code=219550,"+29.85% / 36,231,263"
텔콘RF제약,200230,https://finance.naver.com/item/main.nhn?code=200230,"+4.00% / 32,488,978"
아주IB투자,027360,https://finance.naver.com/item/main.nhn?code=027360,"+10.66% / 30,676,458"
파워넷,037030,https://finance.naver.com/item/main.nhn?code=037030,"+25.23% / 30,489,562"
이스트아시아홀딩스,900110,https://finance.naver.com/item/main.nhn?code=900110,"+14.72% / 28,020,423"
이트론,096040,https://finance.naver.com/item/main.nhn?code=096040,"+29.63% / 24,253,136"
대아티아이,045390,https://finance.naver.com/item/main.nhn?code=045390,"-4.74% / 23,735,991"
드림시큐리티,203650,https://finance.naver.com/item/main.nhn?code=203650,"+5.36% / 22,076,413"
지니뮤직,043610,https://finance.naver.com/item/main.nhn?code=043610,"-2.00% / 21,537,901"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"+9.05% / 21,315,528"
줌인터넷,239340,https://finance.naver.com/item/main.nhn?code=239340,"+0.68% / 20,099,161"
바이오로그디바이스,208710,https://finance.naver.com/item/main.nhn?code=208710,"+2.98% / 19,348,406"
텔레칩스,054450,https://finance.naver.com/item/main.nhn?code=054450,"+29.65% / 19,097,213"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"+5.37% / 18,268,856"
모바일어플라이언스,087260,https://finance.naver.com/item/main.nhn?code=087260,"+7.70% / 16,818,918"
칩스앤미디어,094360,https://finance.naver.com/item/main.nhn?code=094360,"+29.84% / 14,384,189"
씨케이에이치,900120,https://finance.naver.com/item/main.nhn?code=900120,"-0.73% / 14,285,339"
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"+3.30% / 13,778,694"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+0.99% / 13,757,020"
W홀딩컴퍼니,052300,https://finance.naver.com/item/main.nhn?code=052300,"+3.48% / 13,666,525"
이엑스티,226360,https://finance.naver.com/item/main.nhn?code=226360,"-21.66% / 12,547,294"
아이에이,038880,https://finance.naver.com/item/main.nhn?code=038880,"+2.40% / 12,490,427"
아난티,025980,https://finance.naver.com/item/main.nhn?code=025980,"-0.11% / 11,600,501"
나인테크,267320,https://finance.naver.com/item/main.nhn?code=267320,"+6.86% / 11,228,805"
바른테크놀로지,029480,https://finance.naver.com/item/main.nhn?code=029480,"+29.75% / 11,217,617"
바이넥스,053030,https://finance.naver.com/item/main.nhn?code=053030,"+12.43% / 10,922,335"
앤디포스,238090,https://finance.naver.com/item/main.nhn?code=238090,"+4.88% / 10,637,584"
포스코 ICT,022100,https://finance.naver.com/item/main.nhn?code=022100,"+7.74% / 10,617,047"
대신정보통신,020180,https://finance.naver.com/item/main.nhn?code=020180,"+5.71% / 10,558,090"
SCI평가정보,036120,https://finance.naver.com/item/main.nhn?code=036120,"+8.08% / 10,121,989"
