종목명,코드,상세정보,20.10.14,20.10.15,20.10.16
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"+24.76% / 261,646,207","-5.97% / 85,187,554(33%)","-12.60% / 80,924,780(31%)"
KMH하이텍,052900,https://finance.naver.com/item/main.nhn?code=052900,"+29.79% / 97,449,723","-5.01% / 33,416,792(34%)","+7.78% / 184,156,350(189%)"
대창솔루션,096350,https://finance.naver.com/item/main.nhn?code=096350,"-2.72% / 97,322,394","+9.14% / 121,236,974(125%)","-7.18% / 131,133,398(135%)"
국영지앤엠,006050,https://finance.naver.com/item/main.nhn?code=006050,"+11.30% / 90,673,689","-1.67% / 10,098,085(11%)","-10.33% / 8,247,428(9%)"
옴니시스템,057540,https://finance.naver.com/item/main.nhn?code=057540,"+12.40% / 84,996,396","-5.09% / 40,943,803(48%)","+4.11% / 28,577,978(34%)"
SDN,099220,https://finance.naver.com/item/main.nhn?code=099220,"-1.88% / 69,393,938","-2.50% / 16,395,692(24%)","-9.45% / 12,032,647(17%)"
대성파인텍,104040,https://finance.naver.com/item/main.nhn?code=104040,"+17.17% / 59,219,517","-2.33% / 38,270,957(65%)","-7.14% / 9,077,435(15%)"
오성첨단소재,052420,https://finance.naver.com/item/main.nhn?code=052420,"-3.89% / 58,377,222","+8.47% / 158,950,230(272%)","-4.19% / 6,139,431(11%)"
루미마이크로,082800,https://finance.naver.com/item/main.nhn?code=082800,"+0.38% / 42,732,103","+0.57% / 18,227,859(43%)","-3.38% / 10,240,096(24%)"
넥스트아이,137940,https://finance.naver.com/item/main.nhn?code=137940,"+1.04% / 39,997,886","+2.06% / 4,883,422(12%)","-3.53% / 7,353,733(18%)"
텔콘RF제약,200230,https://finance.naver.com/item/main.nhn?code=200230,"+4.80% / 38,276,702","-5.66% / 12,863,120(34%)","-7.92% / 7,875,772(21%)"
지엔원에너지,270520,https://finance.naver.com/item/main.nhn?code=270520,"+13.66% / 36,588,568","-8.75% / 5,683,684(16%)","-5.69% / 1,906,536(5%)"
러셀,217500,https://finance.naver.com/item/main.nhn?code=217500,"+7.34% / 34,934,553","-3.51% / 2,592,331(7%)","-7.82% / 1,978,100(6%)"
SV인베스트먼트,289080,https://finance.naver.com/item/main.nhn?code=289080,"-0.28% / 32,848,826","-10.39% / 15,816,286(48%)","+11.13% / 51,025,058(155%)"
모다이노칩,080420,https://finance.naver.com/item/main.nhn?code=080420,"+0.42% / 28,342,243","-6.31% / 7,610,459(27%)","-4.04% / 5,937,705(21%)"
앤디포스,238090,https://finance.naver.com/item/main.nhn?code=238090,"-4.85% / 26,883,458","-6.39% / 6,577,333(24%)","+0.23% / 25,898,736(96%)"
한일진공,123840,https://finance.naver.com/item/main.nhn?code=123840,"-2.05% / 25,096,875","-10.99% / 9,789,893(39%)","-10.88% / 8,507,423(34%)"
필로시스헬스케어,057880,https://finance.naver.com/item/main.nhn?code=057880,"-1.40% / 24,731,119","-4.39% / 8,985,595(36%)","-6.67% / 3,984,512(16%)"
이트론,096040,https://finance.naver.com/item/main.nhn?code=096040,"+0.71% / 22,462,092","-5.96% / 19,762,601(88%)","0.00% / 18,158,676(81%)"
삼표시멘트,038500,https://finance.naver.com/item/main.nhn?code=038500,"-2.25% / 21,646,388","+4.05% / 4,434,809(20%)","-4.94% / 2,280,623(11%)"
네온테크,306620,https://finance.naver.com/item/main.nhn?code=306620,"+1.03% / 21,460,866","-8.03% / 4,200,267(20%)","-6.98% / 10,656,935(50%)"
대신정보통신,020180,https://finance.naver.com/item/main.nhn?code=020180,"+4.50% / 20,746,745","-1.27% / 13,781,464(66%)","+1.03% / 7,000,828(34%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-3.25% / 20,120,751","-0.78% / 17,166,819(85%)","+2.34% / 75,477,292(375%)"
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"-0.79% / 19,581,296","+0.40% / 13,090,911(67%)","-1.20% / 7,530,736(38%)"
씨케이에이치,900120,https://finance.naver.com/item/main.nhn?code=900120,"-0.87% / 16,023,441","0.00% / 4,730,630(30%)","-2.65% / 1,593,804(10%)"
한국정보인증,053300,https://finance.naver.com/item/main.nhn?code=053300,"+8.42% / 15,101,228","-5.18% / 11,373,263(75%)","-2.85% / 2,100,132(14%)"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"+0.76% / 14,869,291","-1.51% / 5,503,982(37%)","-1.66% / 4,814,549(32%)"
에코바이오,038870,https://finance.naver.com/item/main.nhn?code=038870,"+6.47% / 14,643,691","-4.21% / 4,705,831(32%)","+8.29% / 4,255,810(29%)"
골드퍼시픽,038530,https://finance.naver.com/item/main.nhn?code=038530,"-6.18% / 14,226,136","+1.41% / 25,138,359(177%)","-11.37% / 23,207,734(163%)"
한송네오텍,226440,https://finance.naver.com/item/main.nhn?code=226440,"+10.64% / 13,857,295","+6.94% / 14,336,692(103%)","-16.53% / 11,073,272(80%)"
