종목명,코드,상세정보,20.10.05,20.10.06
루미마이크로,082800,https://finance.naver.com/item/main.nhn?code=082800,"+6.93% / 46,515,639","-6.09% / 22,383,005(48%)"
마이더스AI,222810,https://finance.naver.com/item/main.nhn?code=222810,"+8.94% / 36,401,484","-4.39% / 14,337,215(39%)"
우리기술,032820,https://finance.naver.com/item/main.nhn?code=032820,"+0.34% / 29,394,192","-7.72% / 15,515,400(53%)"
SV인베스트먼트,289080,https://finance.naver.com/item/main.nhn?code=289080,"+3.37% / 26,155,960","+1.34% / 39,994,852(153%)"
오르비텍,046120,https://finance.naver.com/item/main.nhn?code=046120,"+24.32% / 26,037,489","-8.22% / 13,672,886(53%)"
맥스로텍,141070,https://finance.naver.com/item/main.nhn?code=141070,"+29.91% / 25,599,026","-2.18% / 23,938,907(94%)"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"+0.12% / 24,674,415","+0.87% / 36,923,581(150%)"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"+7.36% / 19,950,061","+2.95% / 9,751,651(49%)"
이트론,096040,https://finance.naver.com/item/main.nhn?code=096040,"-2.28% / 16,664,322","+4.13% / 190,511,907(1143%)"
W홀딩컴퍼니,052300,https://finance.naver.com/item/main.nhn?code=052300,"-1.42% / 13,134,124","+19.72% / 38,327,754(292%)"
칩스앤미디어,094360,https://finance.naver.com/item/main.nhn?code=094360,"+15.29% / 12,603,935","+0.75% / 2,425,981(19%)"
대성파인텍,104040,https://finance.naver.com/item/main.nhn?code=104040,"+8.18% / 11,833,374","-0.58% / 5,342,668(45%)"
현대공업,170030,https://finance.naver.com/item/main.nhn?code=170030,"+15.64% / 11,178,465","-0.77% / 18,121,727(162%)"
엠아이텍,179290,https://finance.naver.com/item/main.nhn?code=179290,"+18.41% / 10,874,604","+4.99% / 14,132,468(130%)"
인베니아,079950,https://finance.naver.com/item/main.nhn?code=079950,"+24.20% / 10,038,574","+2.47% / 7,369,216(73%)"
