종목명,코드,상세정보,20.09.24,20.09.25,20.09.28
텔콘RF제약,200230,https://finance.naver.com/item/main.nhn?code=200230,"+2.88% / 165,500,841","-29.93% / 69,687,861(42%)","+4.00% / 32,488,978(20%)"
루미마이크로,082800,https://finance.naver.com/item/main.nhn?code=082800,"+29.87% / 127,885,976","-22.59% / 98,691,727(77%)","+20.95% / 148,500,260(116%)"
모트렉스,118990,https://finance.naver.com/item/main.nhn?code=118990,"+7.36% / 118,711,000","-10.53% / 26,319,945(22%)","+13.90% / 62,922,552(53%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"+25.13% / 90,901,112","-25.45% / 103,225,378(114%)","+0.99% / 13,757,020(15%)"
모바일어플라이언스,087260,https://finance.naver.com/item/main.nhn?code=087260,"-7.50% / 77,374,312","-10.16% / 12,090,592(16%)","+7.70% / 16,818,918(22%)"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"+29.93% / 59,649,103","-29.87% / 182,416,694(306%)","-3.81% / 173,785,051(291%)"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"+2.90% / 51,458,727","+1.82% / 51,201,557(100%)","+0.98% / 60,416,475(117%)"
한일진공,123840,https://finance.naver.com/item/main.nhn?code=123840,"+29.86% / 50,319,025","-21.17% / 52,081,968(104%)","+29.63% / 42,990,686(85%)"
한일단조,024740,https://finance.naver.com/item/main.nhn?code=024740,"+10.75% / 36,976,999","-17.38% / 26,608,761(72%)","+1.09% / 3,215,436(9%)"
앤디포스,238090,https://finance.naver.com/item/main.nhn?code=238090,"+6.33% / 36,660,412","-7.26% / 11,638,565(32%)","+4.88% / 10,637,584(29%)"
스페코,013810,https://finance.naver.com/item/main.nhn?code=013810,"+16.18% / 31,238,491","-21.69% / 25,681,728(82%)","+2.67% / 1,692,472(5%)"
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"-7.23% / 30,315,548","-8.23% / 16,778,896(55%)","+3.30% / 13,778,694(45%)"
대신정보통신,020180,https://finance.naver.com/item/main.nhn?code=020180,"-1.76% / 29,392,384","-5.97% / 15,028,307(51%)","+5.71% / 10,558,090(36%)"
줌인터넷,239340,https://finance.naver.com/item/main.nhn?code=239340,"-13.08% / 28,828,214","+11.24% / 47,053,283(163%)","+0.68% / 20,099,161(70%)"
오르비텍,046120,https://finance.naver.com/item/main.nhn?code=046120,"+29.92% / 27,718,695","-11.89% / 35,865,612(129%)","+7.95% / 9,010,523(33%)"
아이에이,038880,https://finance.naver.com/item/main.nhn?code=038880,"-9.25% / 25,570,089","-3.85% / 10,641,518(42%)","+2.40% / 12,490,427(49%)"
아주IB투자,027360,https://finance.naver.com/item/main.nhn?code=027360,"+17.39% / 22,987,402","+4.27% / 68,012,321(296%)","+10.66% / 30,676,458(133%)"
이트론,096040,https://finance.naver.com/item/main.nhn?code=096040,"-10.00% / 21,646,978","-4.00% / 10,609,826(49%)","+29.63% / 24,253,136(112%)"
옴니시스템,057540,https://finance.naver.com/item/main.nhn?code=057540,"+9.23% / 20,332,685","-6.29% / 4,500,852(22%)","+3.77% / 5,022,755(25%)"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"+0.19% / 19,116,472","-7.95% / 10,213,457(53%)","+9.05% / 21,315,528(112%)"
아진산업,013310,https://finance.naver.com/item/main.nhn?code=013310,"-0.54% / 18,689,552","-4.17% / 2,350,346(13%)","+1.32% / 868,772(5%)"
THE MIDONG,161570,https://finance.naver.com/item/main.nhn?code=161570,"+17.12% / 17,508,000","-3.85% / 3,822,766(22%)","+5.40% / 3,801,225(22%)"
파워넷,037030,https://finance.naver.com/item/main.nhn?code=037030,"+1.85% / 17,418,927","-10.60% / 3,320,135(19%)","+25.23% / 30,489,562(175%)"
제주반도체,080220,https://finance.naver.com/item/main.nhn?code=080220,"-1.33% / 17,126,854","-3.28% / 2,377,352(14%)","+5.56% / 5,111,090(30%)"
우리기술,032820,https://finance.naver.com/item/main.nhn?code=032820,"+29.61% / 15,118,980","+29.82% / 86,251,719(570%)","-4.95% / 75,573,798(500%)"
바이오톡스텍,086040,https://finance.naver.com/item/main.nhn?code=086040,"+8.59% / 14,691,119","+2.16% / 5,078,263(35%)","-5.28% / 3,934,790(27%)"
서한,011370,https://finance.naver.com/item/main.nhn?code=011370,"+5.45% / 13,681,866","-2.59% / 10,434,530(76%)","+3.98% / 2,180,803(16%)"
이화전기,024810,https://finance.naver.com/item/main.nhn?code=024810,"-2.01% / 13,623,023","0.00% / 9,122,387(67%)","+2.74% / 9,572,129(70%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-3.50% / 13,349,493","+1.21% / 12,690,728(95%)","+5.37% / 18,268,856(137%)"
메디콕스,054180,https://finance.naver.com/item/main.nhn?code=054180,"-17.41% / 13,214,699","+4.71% / 10,772,964(82%)","+7.92% / 46,021,072(348%)"
케이에스피,073010,https://finance.naver.com/item/main.nhn?code=073010,"+4.80% / 13,044,273","-11.62% / 1,887,884(14%)","-0.40% / 513,637(4%)"
성호전자,043260,https://finance.naver.com/item/main.nhn?code=043260,"-8.24% / 13,015,156","-0.53% / 2,218,644(17%)","-3.87% / 3,490,154(27%)"
라닉스,317120,https://finance.naver.com/item/main.nhn?code=317120,"-5.22% / 12,717,800","-10.45% / 3,253,090(26%)","+2.89% / 1,845,579(15%)"
부방,014470,https://finance.naver.com/item/main.nhn?code=014470,"+1.19% / 12,562,307","+0.24% / 860,954(7%)","+4.94% / 1,627,533(13%)"
나인테크,267320,https://finance.naver.com/item/main.nhn?code=267320,"-2.87% / 11,825,468","-8.61% / 70,984,759(600%)","+6.86% / 11,228,805(95%)"
