종목명,코드,상세정보,20.10.15,20.10.16
오성첨단소재,052420,https://finance.naver.com/item/main.nhn?code=052420,"+8.47% / 158,950,230","-4.19% / 6,139,431(4%)"
대창솔루션,096350,https://finance.naver.com/item/main.nhn?code=096350,"+9.14% / 121,236,974","-7.18% / 131,133,398(108%)"
에스코넥,096630,https://finance.naver.com/item/main.nhn?code=096630,"+29.87% / 110,220,278","+4.00% / 182,812,628(166%)"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"-5.97% / 85,187,554","-12.60% / 80,924,780(95%)"
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"+11.83% / 74,431,712","-4.79% / 8,458,764(11%)"
유니슨,018000,https://finance.naver.com/item/main.nhn?code=018000,"+9.78% / 56,218,030","-11.03% / 18,346,274(33%)"
넥스트BT,065170,https://finance.naver.com/item/main.nhn?code=065170,"+12.79% / 46,365,947","-9.29% / 28,180,550(61%)"
옴니시스템,057540,https://finance.naver.com/item/main.nhn?code=057540,"-5.09% / 40,943,803","+4.11% / 28,577,978(70%)"
초록뱀,047820,https://finance.naver.com/item/main.nhn?code=047820,"-16.01% / 39,241,647","-1.42% / 17,686,491(45%)"
대성파인텍,104040,https://finance.naver.com/item/main.nhn?code=104040,"-2.33% / 38,270,957","-7.14% / 9,077,435(24%)"
라이브파이낸셜,036170,https://finance.naver.com/item/main.nhn?code=036170,"+18.39% / 37,436,999","+0.97% / 14,502,678(39%)"
TS인베스트먼트,246690,https://finance.naver.com/item/main.nhn?code=246690,"+29.85% / 34,847,019","+4.09% / 62,350,596(179%)"
KMH하이텍,052900,https://finance.naver.com/item/main.nhn?code=052900,"-5.01% / 33,416,792","+7.78% / 184,156,350(551%)"
디지탈옵틱,106520,https://finance.naver.com/item/main.nhn?code=106520,"+11.92% / 31,110,814","+0.47% / 5,298,863(17%)"
W홀딩컴퍼니,052300,https://finance.naver.com/item/main.nhn?code=052300,"-14.02% / 30,531,949","-8.97% / 13,939,489(46%)"
케이피에프,024880,https://finance.naver.com/item/main.nhn?code=024880,"+1.46% / 30,051,454","-10.72% / 2,939,484(10%)"
한국팩키지,037230,https://finance.naver.com/item/main.nhn?code=037230,"+3.75% / 27,163,386","-10.48% / 2,875,414(11%)"
골드퍼시픽,038530,https://finance.naver.com/item/main.nhn?code=038530,"+1.41% / 25,138,359","-11.37% / 23,207,734(92%)"
동국S&C,100130,https://finance.naver.com/item/main.nhn?code=100130,"-2.76% / 22,277,244","-7.10% / 3,363,804(15%)"
DSC인베스트먼트,241520,https://finance.naver.com/item/main.nhn?code=241520,"+3.95% / 20,477,694","-7.47% / 1,802,580(9%)"
이트론,096040,https://finance.naver.com/item/main.nhn?code=096040,"-5.96% / 19,762,601","0.00% / 18,158,676(92%)"
이엠코리아,095190,https://finance.naver.com/item/main.nhn?code=095190,"+3.06% / 19,604,396","-12.01% / 7,919,105(40%)"
루미마이크로,082800,https://finance.naver.com/item/main.nhn?code=082800,"+0.57% / 18,227,859","-3.38% / 10,240,096(56%)"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-0.78% / 17,166,819","+2.34% / 75,477,292(440%)"
맥스로텍,141070,https://finance.naver.com/item/main.nhn?code=141070,"+7.16% / 16,872,263","-17.38% / 8,187,061(49%)"
SDN,099220,https://finance.naver.com/item/main.nhn?code=099220,"-2.50% / 16,395,692","-9.45% / 12,032,647(73%)"
SV인베스트먼트,289080,https://finance.naver.com/item/main.nhn?code=289080,"-10.39% / 15,816,286","+11.13% / 51,025,058(323%)"
일신바이오,068330,https://finance.naver.com/item/main.nhn?code=068330,"+6.88% / 14,867,887","-3.00% / 6,103,890(41%)"
한송네오텍,226440,https://finance.naver.com/item/main.nhn?code=226440,"+6.94% / 14,336,692","-16.53% / 11,073,272(77%)"
대신정보통신,020180,https://finance.naver.com/item/main.nhn?code=020180,"-1.27% / 13,781,464","+1.03% / 7,000,828(51%)"
우림기계,101170,https://finance.naver.com/item/main.nhn?code=101170,"+9.23% / 13,726,781","-11.82% / 1,436,887(10%)"
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"+0.40% / 13,090,911","-1.20% / 7,530,736(58%)"
텔콘RF제약,200230,https://finance.naver.com/item/main.nhn?code=200230,"-5.66% / 12,863,120","-7.92% / 7,875,772(61%)"
대한그린파워,060900,https://finance.naver.com/item/main.nhn?code=060900,"+3.06% / 12,650,502","-2.54% / 3,193,104(25%)"
에스에이티,060540,https://finance.naver.com/item/main.nhn?code=060540,"-1.15% / 12,141,641","-3.98% / 7,788,318(64%)"
한국정보인증,053300,https://finance.naver.com/item/main.nhn?code=053300,"-5.18% / 11,373,263","-2.85% / 2,100,132(18%)"
신라섬유,001000,https://finance.naver.com/item/main.nhn?code=001000,"+8.07% / 10,753,360","+8.19% / 28,780,430(268%)"
손오공,066910,https://finance.naver.com/item/main.nhn?code=066910,"+0.55% / 10,304,672","-5.23% / 1,667,141(16%)"
빅텍,065450,https://finance.naver.com/item/main.nhn?code=065450,"-3.42% / 10,266,390","-0.54% / 3,266,796(32%)"
세동,053060,https://finance.naver.com/item/main.nhn?code=053060,"+30.00% / 10,164,850","+8.45% / 19,941,146(196%)"
우리기술,032820,https://finance.naver.com/item/main.nhn?code=032820,"-0.74% / 10,141,135","-1.12% / 4,696,839(46%)"
국영지앤엠,006050,https://finance.naver.com/item/main.nhn?code=006050,"-1.67% / 10,098,085","-10.33% / 8,247,428(82%)"
