종목명,코드,상세정보,20.10.23
SV인베스트먼트,289080,https://finance.naver.com/item/main.nhn?code=289080,"+16.33% / 119,428,660"
코디엠,224060,https://finance.naver.com/item/main.nhn?code=224060,"+6.99% / 101,641,788"
휴림로봇,090710,https://finance.naver.com/item/main.nhn?code=090710,"+29.88% / 83,630,278"
옴니시스템,057540,https://finance.naver.com/item/main.nhn?code=057540,"+2.80% / 81,327,742"
우리기술투자,041190,https://finance.naver.com/item/main.nhn?code=041190,"-11.17% / 80,634,483"
에이티넘인베스트,021080,https://finance.naver.com/item/main.nhn?code=021080,"-4.14% / 39,950,623"
인지디스플레,037330,https://finance.naver.com/item/main.nhn?code=037330,"+0.70% / 36,819,877"
러셀,217500,https://finance.naver.com/item/main.nhn?code=217500,"+7.71% / 32,184,565"
스맥,099440,https://finance.naver.com/item/main.nhn?code=099440,"-2.19% / 31,526,966"
시노펙스,025320,https://finance.naver.com/item/main.nhn?code=025320,"-13.60% / 29,355,924"
한일진공,123840,https://finance.naver.com/item/main.nhn?code=123840,"-8.88% / 27,459,096"
케이피엠테크,042040,https://finance.naver.com/item/main.nhn?code=042040,"-4.29% / 23,595,983"
포스코 ICT,022100,https://finance.naver.com/item/main.nhn?code=022100,"+1.62% / 23,562,245"
서연탑메탈,019770,https://finance.naver.com/item/main.nhn?code=019770,"+29.89% / 20,227,876"
맥스로텍,141070,https://finance.naver.com/item/main.nhn?code=141070,"+30.00% / 20,087,139"
에이비프로바이오,195990,https://finance.naver.com/item/main.nhn?code=195990,"+1.02% / 17,945,998"
대주산업,003310,https://finance.naver.com/item/main.nhn?code=003310,"+1.13% / 17,916,855"
파워로직스,047310,https://finance.naver.com/item/main.nhn?code=047310,"-5.48% / 17,746,349"
오성첨단소재,052420,https://finance.naver.com/item/main.nhn?code=052420,"-3.77% / 16,438,916"
SDN,099220,https://finance.naver.com/item/main.nhn?code=099220,"-1.75% / 16,005,016"
KMH하이텍,052900,https://finance.naver.com/item/main.nhn?code=052900,"-3.36% / 14,438,054"
케이씨에스,115500,https://finance.naver.com/item/main.nhn?code=115500,"+19.23% / 13,333,535"
켐온,217600,https://finance.naver.com/item/main.nhn?code=217600,"-5.28% / 12,269,479"
알에프세미,096610,https://finance.naver.com/item/main.nhn?code=096610,"+1.69% / 11,455,711"
SBI인베스트먼트,019550,https://finance.naver.com/item/main.nhn?code=019550,"-10.11% / 11,404,541"
루미마이크로,082800,https://finance.naver.com/item/main.nhn?code=082800,"-6.91% / 11,311,958"
나라엠앤디,051490,https://finance.naver.com/item/main.nhn?code=051490,"+10.85% / 11,013,734"
KNN,058400,https://finance.naver.com/item/main.nhn?code=058400,"-4.59% / 10,914,549"
누리텔레콤,040160,https://finance.naver.com/item/main.nhn?code=040160,"+3.31% / 10,784,180"
에스맥,097780,https://finance.naver.com/item/main.nhn?code=097780,"-3.05% / 10,685,361"
KPX생명과학,114450,https://finance.naver.com/item/main.nhn?code=114450,"-11.20% / 10,293,684"
